Libro,Capítulo,Versículo,Texto
Apocalipsis,1,1,"La revelación de Jesucristo, que Dios le dió, para manifestar a sus siervos las cosas que deben suceder presto; y la declaró, enviándo la por su ángel a Juan su siervo, αποκαλυψις ιησου χριστου ην εδωκεν αυτω ο θεος δειξαι τοις δουλοις αυτου α δει γενεσθαι εν ταχει και εσημανεν αποστειλας δια του αγγελου αυτου τω δουλω αυτου ιωαννη"
Apocalipsis,1,2,"el cual ha dado testimonio de la palabra de Dios, y del testimonio de Jesucristo, y de todas las cosas que ha visto. ος εμαρτυρησεν τον λογον του θεου και την μαρτυριαν ιησου χριστου οσα ειδεν"
Apocalipsis,1,3,"Bienaventurado el que lee, y los que oyen las palabras de esta profecía, y guardan las cosas en ella escritas: porque el tiempo está cerca. μακαριος ο αναγινωσκων και οι ακουοντες τους λογους της προφητειας και τηρουντες τα εν αυτη γεγραμμενα ο γαρ καιρος εγγυς"
Apocalipsis,1,4,"Juan a las siete iglesias que están en Asia: Gracia sea con vosotros, y paz del que es y que era y que ha de venir, y de los siete Espíritus que están delante de su trono; ιωαννης ταις επτα εκκλησιαις ταις εν τη ασια χαρις υμιν και ειρηνη απο ο ων και ο ην και ο ερχομενος και απο των επτα πνευματων α ενωπιον του θρονου αυτου"
Apocalipsis,1,5,"y de Jesucristo, el testigo fiel, el primogénito de los muertos, y príncipe de los reyes de la tierra. Al que nos amó, y nos ha lavado de nuestros pecados con su sangre, και απο ιησου χριστου ο μαρτυς ο πιστος ο πρωτοτοκος των νεκρων και ο αρχων των βασιλεων της γης τω αγαπωντι ημας και λυσαντι ημας εκ των αμαρτιων [ημων] εν τω αιματι αυτου"
Apocalipsis,1,6,y nos ha hecho reyes y sacerdotes para Dios y su Padre; a él sea gloria é imperio para siempre jamás. Amén. και εποιησεν ημας βασιλειαν ιερεις τω θεω και πατρι αυτου αυτω η δοξα και το κρατος εις τους αιωνας αμην
Apocalipsis,1,7,"He aquí que viene con las nubes, y todo ojo le verá, y los que le traspasaron; y todos los linajes de la tierra se lamentarán sobre él. Así sea. Amén. ιδου ερχεται μετα των νεφελων και οψεται αυτον πας οφθαλμος και οιτινες αυτον εξεκεντησαν και κοψονται επ αυτον πασαι αι φυλαι της γης ναι αμην"
Apocalipsis,1,8,"Yo soy el Alpha y la Omega, principio y fin, dice el Señor, que es y que era y que ha de venir, el Todopoderoso. εγω ειμι το αλφα και το ω λεγει κυριος ο θεος ο ων και ο ην και ο ερχομενος ο παντοκρατωρ"
Apocalipsis,1,9,"Yo Juan, vuestro hermano, y participante en la tribulación y en el reino, y en la paciencia de Jesucristo, estaba en la isla que es llamada Patmos, por la palabra de Dios y el testimonio de Jesucristo. εγω ιωαννης ο αδελφος υμων και συγκοινωνος εν τη θλιψει και βασιλεια και υπομονη εν ιησου εγενομην εν τη νησω τη καλουμενη πατμω δια τον λογον του θεου και την μαρτυριαν ιησου"
Apocalipsis,1,10,"Yo fuí en el Espíritu en el día del Señor, y oí detrás de mí una gran voz como de trompeta, εγενομην εν πνευματι εν τη κυριακη ημερα και ηκουσα οπισω μου φωνην μεγαλην ως σαλπιγγος"
Apocalipsis,1,11,"que decía: Yo soy el Alpha y Omega, el primero y el último. Escribe en un libro lo que ves, y envía lo a las siete iglesias que están en Asia; a Efeso, y a Smirna, y a Pérgamo, y a Tiatira, y a Sardis, y a Filadelfia, y a Laodicea. λεγουσης ο βλεπεις γραψον εις βιβλιον και πεμψον ταις επτα εκκλησιαις εις εφεσον και εις σμυρναν και εις περγαμον και εις θυατειρα και εις σαρδεις και εις φιλαδελφειαν και εις λαοδικειαν"
Apocalipsis,1,12,"Y me volví a ver la voz que hablaba conmigo: y vuelto, vi siete candeleros de oro; και επεστρεψα βλεπειν την φωνην ητις ελαλει μετ εμου και επιστρεψας ειδον επτα λυχνιας χρυσας"
Apocalipsis,1,13,"Y en medio de los siete candeleros, uno semejante al Hijo del hombre, vestido de una ropa que llegaba hasta los pies, y ceñido por los pechos con una cinta de oro. και εν μεσω των λυχνιων ομοιον υιον ανθρωπου ενδεδυμενον ποδηρη και περιεζωσμενον προς τοις μαστοις ζωνην χρυσαν"
Apocalipsis,1,14,"Y su cabeza y sus cabellos eran blancos como la lana blanca, como la nieve; y sus ojos como llama de fuego; η δε κεφαλη αυτου και αι τριχες λευκαι ως εριον λευκον ως χιων και οι οφθαλμοι αυτου ως φλοξ πυρος"
Apocalipsis,1,15,"y sus pies semejantes al latón fino, ardientes como en un horno; y su voz como ruido de muchas aguas. και οι ποδες αυτου ομοιοι χαλκολιβανω ως εν καμινω πεπυρωμενης και η φωνη αυτου ως φωνη υδατων πολλων"
Apocalipsis,1,16,Y tenía en su diestra siete estrellas: y de su boca salía una espada aguda de dos filos. Y su rostro era como el sol cuando resplandece en su fuerza. και εχων εν τη δεξια χειρι αυτου αστερας επτα και εκ του στοματος αυτου ρομφαια διστομος οξεια εκπορευομενη και η οψις αυτου ως ο ηλιος φαινει εν τη δυναμει αυτου
Apocalipsis,1,17,"Y fpicuando yo le vi, caí como muerto a sus pies. Y él puso su diestra sobre mí, diciéndome: No temas: yo soy el primero y el último; και οτε ειδον αυτον επεσα προς τους ποδας αυτου ως νεκρος και εθηκεν την δεξιαν αυτου επ εμε λεγων μη φοβου εγω ειμι ο πρωτος και ο εσχατος"
