Libro,Capítulo,Versículo,Texto
Colosenses,1,1,"Pablo, apóstol de Jesucristo por la voluntad de Dios, y el hermano Timoteo, παυλος αποστολος χριστου ιησου δια θεληματος θεου και τιμοθεος ο αδελφος"
Colosenses,1,2,"a los santos y hermanos fieles en Cristo que están en Colosas: Gracia y paz a vosotros de Dios Padre nuestro, y del Señor Jesucristo. τοις εν κολοσσαις αγιοις και πιστοις αδελφοις εν χριστω χαρις υμιν και ειρηνη απο θεου πατρος ημων"
Colosenses,1,3,"Damos gracias al Dios y Padre del Señor nuestro Jesucristo, siempre orando por vosotros: ευχαριστουμεν τω θεω πατρι του κυριου ημων ιησου [χριστου] παντοτε περι υμων προσευχομενοι"
Colosenses,1,4,"Habiendo oído vuestra fe en Cristo Jesús, y el amor que tenéis a todos los santos, ακουσαντες την πιστιν υμων εν χριστω ιησου και την αγαπην [ην εχετε] εις παντας τους αγιους"
Colosenses,1,5,"a causa de la esperanza que os está guardada en los cielos, de la cual habéis oído ya por la palabra verdadera del evangelio: δια την ελπιδα την αποκειμενην υμιν εν τοις ουρανοις ην προηκουσατε εν τω λογω της αληθειας του ευαγγελιου"
Colosenses,1,6,"El cual ha llegado hasta vosotros, como por todo el mundo; y fructifica y crece, como también en vosotros, desde el día que oísteis y conocisteis la gracia de Dios en verdad, του παροντος εις υμας καθως και εν παντι τω κοσμω εστιν καρποφορουμενον και αυξανομενον καθως και εν υμιν αφ ης ημερας ηκουσατε και επεγνωτε την χαριν του θεου εν αληθεια"
Colosenses,1,7,"como habéis aprendido de Epafras, nuestro consiervo amado, el cual es un fiel ministro de Cristo a favor vuestro; καθως εμαθετε απο επαφρα του αγαπητου συνδουλου ημων ος εστιν πιστος υπερ ημων διακονος του χριστου"
Colosenses,1,8,el cual también nos ha declarado vuestro amor en el Espíritu. ο και δηλωσας ημιν την υμων αγαπην εν πνευματι
Colosenses,1,9,"Por lo cual también nosotros, desde el día que lo oímos, no cesamos de orar por vosotros, y de pedir que seáis llenos del conocimiento de su voluntad, en toda sabiduría y espiritual inteligencia; δια τουτο και ημεις αφ ης ημερας ηκουσαμεν ου παυομεθα υπερ υμων προσευχομενοι και αιτουμενοι ινα πληρωθητε την επιγνωσιν του θεληματος αυτου εν παση σοφια και συνεσει πνευματικη"
Colosenses,1,10,"para que andéis como es digno del Señor, agradándo le en todo, fructificando en toda buena obra, y creciendo en el conocimiento de Dios: περιπατησαι αξιως του κυριου εις πασαν αρεσκειαν εν παντι εργω αγαθω καρποφορουντες και αυξανομενοι τη επιγνωσει του θεου"
Colosenses,1,11,"Corroborados de toda fortaleza, conforme a la potencia de su gloria, para toda tolerancia y largura de ánimo con gozo; εν παση δυναμει δυναμουμενοι κατα το κρατος της δοξης αυτου εις πασαν υπομονην και μακροθυμιαν μετα χαρας"
Colosenses,1,12,dando gracias al Padre que nos hizo aptos para participar de la suerte de los santos en luz: ευχαριστουντες τω πατρι τω ικανωσαντι υμας εις την μεριδα του κληρου των αγιων εν τω φωτι
Colosenses,1,13,"Que nos ha librado de la potestad de las tinieblas, y trasladado al reino de su amado Hijo; ος ερρυσατο ημας εκ της εξουσιας του σκοτους και μετεστησεν εις την βασιλειαν του υιου της αγαπης αυτου"
Colosenses,1,14,"en el cual tenemos redención por su sangre, la remisión de pecados: εν ω εχομεν την απολυτρωσιν την αφεσιν των αμαρτιων"
