Libro,Capítulo,Versículo,Texto
Efesios,1,1,"Pablo, apóstol de Jesucristo por la voluntad de Dios, a los santos y fieles en Cristo Jesús que están en Efeso: παυλος αποστολος χριστου ιησου δια θεληματος θεου τοις αγιοις τοις ουσιν [εν εφεσω] και πιστοις εν χριστω ιησου"
Efesios,1,2,"Gracia sea a vosotros, y paz de Dios Padre nuestro, y del Señor Jesucristo. χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου"
Efesios,1,3,"Bendito el Dios y Padre del Señor nuestro Jesucristo, el cual nos bendijo con toda bendición espiritual en lugares celestiales en Cristo: ευλογητος ο θεος και πατηρ του κυριου ημων ιησου χριστου ο ευλογησας ημας εν παση ευλογια πνευματικη εν τοις επουρανιοις εν χριστω"
Efesios,1,4,"Según nos escogió en él antes de la fundación del mundo, para que fuésemos santos y sin mancha delante de él en amor; καθως εξελεξατο ημας εν αυτω προ καταβολης κοσμου ειναι ημας αγιους και αμωμους κατενωπιον αυτου εν αγαπη"
Efesios,1,5,"habiéndonos predestinado para ser adoptados hijos por Jesucristo a sí mismo, según el puro afecto de su voluntad, προορισας ημας εις υιοθεσιαν δια ιησου χριστου εις αυτον κατα την ευδοκιαν του θεληματος αυτου"
Efesios,1,6,"para alabanza de la gloria de su gracia, con la cual nos hizo aceptos en el Amado: εις επαινον δοξης της χαριτος αυτου ης εχαριτωσεν ημας εν τω ηγαπημενω"
Efesios,1,7,"En el cual tenemos redención por su sangre, la remisión de pecados por las riquezas de su gracia, εν ω εχομεν την απολυτρωσιν δια του αιματος αυτου την αφεσιν των παραπτωματων κατα το πλουτος της χαριτος αυτου"
Efesios,1,8,que sobreabundó en nosotros en toda sabiduría é inteligencia; ης επερισσευσεν εις ημας εν παση σοφια και φρονησει
Efesios,1,9,"descubriéndonos el misterio de su voluntad, según su beneplácito, que se había propuesto en sí mismo, γνωρισας ημιν το μυστηριον του θεληματος αυτου κατα την ευδοκιαν αυτου ην προεθετο εν αυτω"
Efesios,1,10,"de reunir todas las cosas en Cristo, en la dispensación del cumplimiento de los tiempos, así las que están en los cielos, como las que están en la tierra: εις οικονομιαν του πληρωματος των καιρων ανακεφαλαιωσασθαι τα παντα εν τω χριστω τα επι τοις ουρανοις και τα επι της γης"
