Libro,Capítulo,Versículo,Texto
Filipenses,1,1,"Pablo y Timoteo, siervos de Jesucristo, a todos los santos en Cristo Jesús que están en Filipos, con los obispos y diáconos: παυλος και τιμοθεος δουλοι χριστου ιησου πασιν τοις αγιοις εν χριστω ιησου τοις ουσιν εν φιλιπποις συν επισκοποις και διακονοις"
Filipenses,1,2,"Gracia sea a vosotros, y paz de Dios nuestro Padre y del Señor Jesucristo. χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου"
Filipenses,1,3,"Doy gracias a mi Dios en toda memoria de vosotros, ευχαριστω τω θεω μου επι παση τη μνεια υμων"
Filipenses,1,4,"siempre en todas mis oraciones haciendo oración por todos vosotros con gozo, παντοτε εν παση δεησει μου υπερ παντων υμων μετα χαρας την δεησιν ποιουμενος"
Filipenses,1,5,"por vuestra comunión en el evangelio, desde el primer día hasta ahora: επι τη κοινωνια υμων εις το ευαγγελιον απο της πρωτης ημερας αχρι του νυν"
Filipenses,1,6,"Estando confiado de esto, que el que comenzó en vosotros la buena obra, la perfeccionará hasta el día de Jesucristo; πεποιθως αυτο τουτο οτι ο εναρξαμενος εν υμιν εργον αγαθον επιτελεσει αχρις ημερας ιησου χριστου"
Filipenses,1,7,"como me es justo sentir esto de todos vosotros, por cuanto os tengo en el corazón; y en mis prisiones, y en la defensa y confirmación del evangelio, sois todos vosotros compañeros de mi gracia. καθως εστιν δικαιον εμοι τουτο φρονειν υπερ παντων υμων δια το εχειν με εν τη καρδια υμας εν τε τοις δεσμοις μου και εν τη απολογια και βεβαιωσει του ευαγγελιου συγκοινωνους μου της χαριτος παντας υμας οντας"
Filipenses,1,8,Porque Dios me es testigo de cómo os amo a todos vosotros en las entrañas de Jesucristo. μαρτυς γαρ μου ο θεος ως επιποθω παντας υμας εν σπλαγχνοις χριστου ιησου
Filipenses,1,9,"Y esto ruego, que vuestro amor abunde aun más y más en ciencia y en todo conocimiento, και τουτο προσευχομαι ινα η αγαπη υμων ετι μαλλον και μαλλον περισσευη εν επιγνωσει και παση αισθησει"
Filipenses,1,10,para que discernáis lo mejor; que seáis sinceros y sin ofensa para el día de Cristo; εις το δοκιμαζειν υμας τα διαφεροντα ινα ητε ειλικρινεις και απροσκοποι εις ημεραν χριστου
Filipenses,1,11,"llenos de frutos de justicia, que son por Jesucristo, a gloria y loor de Dios. πεπληρωμενοι καρπον δικαιοσυνης τον δια ιησου χριστου εις δοξαν και επαινον θεου"
Filipenses,1,12,"Y quiero, hermanos, que sepáis que las cosas que me han sucedido, han redundado más en provecho del evangelio; γινωσκειν δε υμας βουλομαι αδελφοι οτι τα κατ εμε μαλλον εις προκοπην του ευαγγελιου εληλυθεν"
Filipenses,1,13,"de manera que mis prisiones han sido célebres en Cristo en todo el pretorio, y a todos los demás; ωστε τους δεσμους μου φανερους εν χριστω γενεσθαι εν ολω τω πραιτωριω και τοις λοιποις πασιν"
Filipenses,1,14,"y muchos de los hermanos en el Señor, tomando ánimo con mis prisiones, se atreven mucho más a hablar la palabra sin temor. και τους πλειονας των αδελφων εν κυριω πεποιθοτας τοις δεσμοις μου περισσοτερως τολμαν αφοβως τον λογον του θεου λαλειν"
Filipenses,1,15,"Y algunos, a la verdad, predican a Cristo por envidia y porfía; mas algunos también por buena voluntad. τινες μεν και δια φθονον και εριν τινες δε και δι ευδοκιαν τον χριστον κηρυσσουσιν"
Filipenses,1,16,"Los unos anuncian a Cristo por contención, no sinceramente, pensando añadir aflicción a mis prisiones; οι μεν εξ αγαπης ειδοτες οτι εις απολογιαν του ευαγγελιου κειμαι"
Filipenses,1,17,"pero los otros por amor, sabiendo que soy puesto por la defensa del evangelio. οι δε εξ εριθειας τον χριστον καταγγελλουσιν ουχ αγνως οιομενοι θλιψιν εγειρειν τοις δεσμοις μου"
Filipenses,1,18,"¿Qué pues? Que no obstante, en todas maneras, o  por pretexto o  por verdad, es anunciado Cristo; y en esto me huelgo, y aun me holgaré. τι γαρ πλην οτι παντι τροπω ειτε προφασει ειτε αληθεια χριστος καταγγελλεται και εν τουτω χαιρω αλλα και χαρησομαι"
