Libro,Capítulo,Versículo,Texto
Gálatas,1,1,"Pablo, apóstol, (no de los hombres ni por hombre, mas por Jesucristo y por Dios el Padre, que lo resucitó de los muertos), παυλος αποστολος ουκ απ ανθρωπων ουδε δι ανθρωπου αλλα δια ιησου χριστου και θεου πατρος του εγειραντος αυτον εκ νεκρων"
Gálatas,1,2,"y todos los hermanos que están conmigo, a las iglesias de Galacia: και οι συν εμοι παντες αδελφοι ταις εκκλησιαις της γαλατιας"
Gálatas,1,3,"Gracia sea a vosotros, y paz de Dios el Padre, y de nuestro Señor Jesucristo, χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου"
Gálatas,1,4,"el cual se dió a sí mismo por nuestros pecados para librarnos de este presente siglo malo, conforme a la voluntad de Dios y Padre nuestro; του δοντος εαυτον υπερ των αμαρτιων ημων οπως εξεληται ημας εκ του αιωνος του ενεστωτος πονηρου κατα το θελημα του θεου και πατρος ημων"
Gálatas,1,5,al cual sea la gloria por siglos de siglos. Amén. ω η δοξα εις τους αιωνας των αιωνων αμην
Gálatas,1,6,"Estoy maravillado de que tan pronto os hayáis traspasado del que os llamó a la gracia de Cristo, a otro evangelio: θαυμαζω οτι ουτως ταχεως μετατιθεσθε απο του καλεσαντος υμας εν χαριτι χριστου εις ετερον ευαγγελιον"
Gálatas,1,7,"No que hay otro, sino que hay algunos que os inquietan, y quieren pervertir el evangelio de Cristo. ο ουκ εστιν αλλο ει μη τινες εισιν οι ταρασσοντες υμας και θελοντες μεταστρεψαι το ευαγγελιον του χριστου"
Gálatas,1,8,"Mas aun si nosotros o  un ángel del cielo os anunciare otro evangelio del que os hemos anunciado, sea anatema. αλλα και εαν ημεις η αγγελος εξ ουρανου ευαγγελισηται [υμιν] παρ ο ευηγγελισαμεθα υμιν αναθεμα εστω"
Gálatas,1,9,"Como antes hemos dicho, también ahora decimos otra vez: Si alguno os anunciare otro evangelio del que habéis recibido, sea anatema. ως προειρηκαμεν και αρτι παλιν λεγω ει τις υμας ευαγγελιζεται παρ ο παρελαβετε αναθεμα εστω"
Gálatas,1,10,"Porque, ¿persuado yo ahora a hombres o  a Dios? ¿ó busco de agradar a hombres? Cierto, que si todavía agradara a los hombres, no sería siervo de Cristo. αρτι γαρ ανθρωπους πειθω η τον θεον η ζητω ανθρωποις αρεσκειν ει ετι ανθρωποις ηρεσκον χριστου δουλος ουκ αν ημην"
