Libro,Capítulo,Versículo,Texto
Hebreos,1,1,"Dios, habiendo hablado muchas veces y en muchas maneras en otro tiempo a los padres por los profetas, πολυμερως και πολυτροπως παλαι ο θεος λαλησας τοις πατρασιν εν τοις προφηταις επ εσχατου"
Hebreos,1,2,"En estos porstreros días nos ha hablado por el Hijo, al cual constituyó heredero de todo, por el cual asimismo hizo el universo; των ημερων τουτων ελαλησεν ημιν εν υιω ον εθηκεν κληρονομον παντων δι ου και εποιησεν τους αιωνας"
Hebreos,1,3,"el cual siendo el resplandor de su gloria, y la misma imagen de su sustancia, y sustentando todas las cosas con la palabra de su potencia, habiendo hecho la purgación de nuestros pecados por sí mismo, se sentó a la diestra de la Majestad en las alturas, ος ων απαυγασμα της δοξης και χαρακτηρ της υποστασεως αυτου φερων τε τα παντα τω ρηματι της δυναμεως αυτου καθαρισμον των αμαρτιων ποιησαμενος εκαθισεν εν δεξια της μεγαλωσυνης εν υψηλοις"
Hebreos,1,4,"hecho tanto más excelente que los ángeles, cuanto alcanzó por herencia más excelente nombre que ellos. τοσουτω κρειττων γενομενος των αγγελων οσω διαφορωτερον παρ αυτους κεκληρονομηκεν ονομα"
Hebreos,1,5,"Porque ¿á cuál de los ángeles dijo Dios jamás: Mi hijo eres tú, Hoy yo te he engendrado? Y otra vez: Yo seré a él Padre, Y él me será a mí hijo? τινι γαρ ειπεν ποτε των αγγελων υιος μου ει συ εγω σημερον γεγεννηκα σε και παλιν εγω εσομαι αυτω εις πατερα και αυτος εσται μοι εις υιον"
Hebreos,1,6,"Y otra vez, cuando introduce al Primogénito en la tierra, dice: Y adórenle todos los ángeles de Dios. οταν δε παλιν εισαγαγη τον πρωτοτοκον εις την οικουμενην λεγει και προσκυνησατωσαν αυτω παντες αγγελοι θεου"
Hebreos,1,7,"Y ciertamente de los ángeles dice: El que hace a sus ángeles espíritus, Y a sus ministros llama de fuego. και προς μεν τους αγγελους λεγει ο ποιων τους αγγελους αυτου πνευματα και τους λειτουργους αυτου πυρος φλογα"
Hebreos,1,8,"Mas al hijo: Tu trono, oh Dios, por el siglo del siglo; Vara de equidad la vara de tu reino; προς δε τον υιον ο θρονος σου ο θεος εις τον αιωνα [του αιωνος] και η ραβδος της ευθυτητος ραβδος της βασιλειας αυτου"
Hebreos,1,9,"has amado la justicia, y aborrecido la maldad; Por lo cual te ungió Dios, el Dios tuyo, Con óleo de alegría más que a tus compañeros. ηγαπησας δικαιοσυνην και εμισησας ανομιαν δια τουτο εχρισεν σε ο θεος ο θεος σου ελαιον αγαλλιασεως παρα τους μετοχους σου"
Hebreos,1,10,"Y: Tú, oh Señor, en el principio fundaste la tierra; Y los cielos son obras de tus manos: και συ κατ αρχας κυριε την γην εθεμελιωσας και εργα των χειρων σου εισιν οι ουρανοι"
Hebreos,1,11,"Ellos perecerán, mas tú eres permanente; y todos ellos se envejecerán como una vestidura; αυτοι απολουνται συ δε διαμενεις και παντες ως ιματιον παλαιωθησονται"
Hebreos,1,12,"y como un vestido los envolverás, y serán mudados; empero tú eres el mismo, y tus años no acabarán. και ωσει περιβολαιον ελιξεις αυτους ως ιματιον και αλλαγησονται συ δε ο αυτος ει και τα ετη σου ουκ εκλειψουσιν"
