Libro,Capítulo,Versículo,Texto
Hechos,1,1,"En el primer tratado, oh Teófilo, he hablado de todas las cosas que Jesús comenzó a hacer y a enseñar, τον μεν πρωτον λογον εποιησαμην περι παντων ω θεοφιλε ων ηρξατο ιησους ποιειν τε και διδασκειν"
Hechos,1,2,"hasta el día en que, habiendo dado mandamientos por el Espíritu Santo a los apóstoles que escogió, fué recibido arriba; αχρι ης ημερας εντειλαμενος τοις αποστολοις δια πνευματος αγιου ους εξελεξατο ανελημφθη"
Hechos,1,3,"a los cuales, después de haber padecido, se presentó vivo con muchas pruebas indubitables, apareciéndoles por cuarenta días, y hablándo les del reino de Dios. οις και παρεστησεν εαυτον ζωντα μετα το παθειν αυτον εν πολλοις τεκμηριοις δι ημερων τεσσερακοντα οπτανομενος αυτοις και λεγων τα περι της βασιλειας του θεου"
Hechos,1,4,"Y estando juntos, les mandó que no se fuesen de Jerusalem, sino que esperasen la promesa del Padre, que oísteis, dijo, de mí. και συναλιζομενος παρηγγειλεν αυτοις απο ιεροσολυμων μη χωριζεσθαι αλλα περιμενειν την επαγγελιαν του πατρος ην ηκουσατε μου"
Hechos,1,5,"Porque Juan a la verdad bautizó con agua, mas vosotros seréis bautizados con el Espíritu Santo no muchos días después de estos. οτι ιωαννης μεν εβαπτισεν υδατι υμεις δε εν πνευματι βαπτισθησεσθε αγιω ου μετα πολλας ταυτας ημερας"
Hechos,1,6,"Entonces los que se habían juntado le preguntaron, diciendo: Señor, ¿restituirás el reino a Israel en este tiempo? οι μεν ουν συνελθοντες ηρωτων αυτον λεγοντες κυριε ει εν τω χρονω τουτω αποκαθιστανεις την βασιλειαν τω ισραηλ"
Hechos,1,7,Y les dijo: No toca a vosotros saber los tiempos ó las sazones que el Padre puso en su sola potestad; ειπεν προς αυτους ουχ υμων εστιν γνωναι χρονους η καιρους ους ο πατηρ εθετο εν τη ιδια εξουσια
Hechos,1,8,"mas recibiréis la virtud del Espíritu Santo que vendrá sobre vosotros; y me sereís testigos en Jerusalem, en toda Judea, y Samaria, y hasta lo último de la tierra. αλλα λημψεσθε δυναμιν επελθοντος του αγιου πνευματος εφ υμας και εσεσθε μου μαρτυρες εν τε ιερουσαλημ και [εν] παση τη ιουδαια και σαμαρεια και εως εσχατου της γης"
Hechos,1,9,"Y habiendo dicho estas cosas, viéndo lo ellos, fué alzado; y una nube le recibió y le quitó de sus ojos. και ταυτα ειπων βλεποντων αυτων επηρθη και νεφελη υπελαβεν αυτον απο των οφθαλμων αυτων"
Hechos,1,10,"Y estando con los ojos puestos en el cielo, entre tanto que él iba, he aquí dos varones se pusieron junto a ellos en vestidos blancos; και ως ατενιζοντες ησαν εις τον ουρανον πορευομενου αυτου και ιδου ανδρες δυο παρειστηκεισαν αυτοις εν εσθησεσι λευκαις"
Hechos,1,11,"los cuales también les dijeron: Varones Galileos, ¿qué estáis mirando al cielo? este mismo Jesús que ha sido tomado desde vosotros arriba en el cielo, así vendrá como le habéis visto ir al cielo. οι και ειπαν ανδρες γαλιλαιοι τι εστηκατε βλεποντες εις τον ουρανον ουτος ο ιησους ο αναλημφθεις αφ υμων εις τον ουρανον ουτως ελευσεται ον τροπον εθεασασθε αυτον πορευομενον εις τον ουρανον"
Hechos,1,12,"Entonces se volvieron a Jerusalem del monte que se llama del Olivar, el cual está cerca de Jerusalem camino de un sábado. τοτε υπεστρεψαν εις ιερουσαλημ απο ορους του καλουμενου ελαιωνος ο εστιν εγγυς ιερουσαλημ σαββατου εχον οδον"
Hechos,1,13,"Y entrados, subieron al aposento alto, donde moraban Pedro y Jacobo, y Juan y Andrés, Felipe y Tomás, Bartolomé y Mateo, Jacobo hijo de Alfeo, y Simón Zelotes, y Judas hermano de Jacobo. και οτε εισηλθον εις το υπερωον ανεβησαν ου ησαν καταμενοντες ο τε πετρος και ιωαννης και ιακωβος και ανδρεας φιλιππος και θωμας βαρθολομαιος και μαθθαιος ιακωβος αλφαιου και σιμων ο ζηλωτης και ιουδας ιακωβου"
Hechos,1,14,"Todos éstos perseveraban unánimes en oración y ruego, con las mujeres, y con María la madre de Jesús, y con sus hermanos. ουτοι παντες ησαν προσκαρτερουντες ομοθυμαδον τη προσευχη συν γυναιξιν και μαριαμ τη μητρι [του] ιησου και συν τοις αδελφοις αυτου"
Hechos,1,15,"Y en aquellos días, Pedro, levantándose en medio de los hermanos, dijo (y era la compañía junta como de ciento y veinte en número): και εν ταις ημεραις ταυταις αναστας πετρος εν μεσω των αδελφων ειπεν ην τε οχλος ονοματων επι το αυτο ως εκατον εικοσι"
