Libro,Capítulo,Versículo,Texto
Juan,1,1,"En el principio era el Verbo, y el Verbo era con Dios, y el Verbo era Dios. εν αρχη ην ο λογος και ο λογος ην προς τον θεον και θεος ην ο λογος"
Juan,1,2,Este era en el principio con Dios. ουτος ην εν αρχη προς τον θεον
Juan,1,3,"Todas las cosas por él fueron hechas; y sin él nada de lo que es hecho, fué hecho. παντα δι αυτου εγενετο και χωρις αυτου εγενετο ουδε εν ο γεγονεν"
Juan,1,4,"En él estaba la vida, y la vida era la luz de los hombres. εν αυτω ζωη ην και η ζωη ην το φως των ανθρωπων"
Juan,1,5,Y la luz en las tinieblas resplandece; mas las tinieblas no la comprendieron. και το φως εν τη σκοτια φαινει και η σκοτια αυτο ου κατελαβεν
Juan,1,6,"Fué un hombre enviado de Dios, el cual se llamaba Juan. εγενετο ανθρωπος απεσταλμενος παρα θεου ονομα αυτω ιωαννης"
Juan,1,7,"Este vino por testimonio, para que diese testimonio de la luz, para que todos creyesen por él. ουτος ηλθεν εις μαρτυριαν ινα μαρτυρηση περι του φωτος ινα παντες πιστευσωσιν δι αυτου"
Juan,1,8,"No era él la luz, sino para que diese testimonio de la luz. ουκ ην εκεινος το φως αλλ ινα μαρτυρηση περι του φωτος"
Juan,1,9,"Aquel era la luz verdadera, que alumbra a todo hombre que viene a este mundo. ην το φως το αληθινον ο φωτιζει παντα ανθρωπον ερχομενον εις τον κοσμον"
Juan,1,10,"En el mundo estaba, y el mundo fué hecho por él; y el mundo no le conoció. εν τω κοσμω ην και ο κοσμος δι αυτου εγενετο και ο κοσμος αυτον ουκ εγνω"
Juan,1,11,"A lo suyo vino, y los suyos no le recibieron. εις τα ιδια ηλθεν και οι ιδιοι αυτον ου παρελαβον"
Juan,1,12,"Mas a todos los que le recibieron, dióles potestad de ser hechos hijos de Dios, a los que creen en su nombre: οσοι δε ελαβον αυτον εδωκεν αυτοις εξουσιαν τεκνα θεου γενεσθαι τοις πιστευουσιν εις το ονομα αυτου"
Juan,1,13,"Los cuales no son engendrados de sangre, ni de voluntad de carne, ni de voluntad de varón, mas de Dios. οι ουκ εξ αιματων ουδε εκ θεληματος σαρκος ουδε εκ θεληματος ανδρος αλλ εκ θεου εγεννηθησαν"
Juan,1,14,"Y aquel Verbo fué hecho carne, y habitó entre nosotros (y vimos su gloria, gloria como del unigénito del Padre), lleno de gracia y de verdad. και ο λογος σαρξ εγενετο και εσκηνωσεν εν ημιν και εθεασαμεθα την δοξαν αυτου δοξαν ως μονογενους παρα πατρος πληρης χαριτος και αληθειας"
Juan,1,15,"Juan dió testimonio de él, y clamó diciendo: Este es del que yo decía: El que viene tras mí, es antes de mí: porque es primero que yo. ιωαννης μαρτυρει περι αυτου και κεκραγεν λεγων ουτος ην ο ειπων ο οπισω μου ερχομενος εμπροσθεν μου γεγονεν οτι πρωτος μου ην"
Juan,1,16,"Porque de su plenitud tomamos todos, y gracia por gracia. οτι εκ του πληρωματος αυτου ημεις παντες ελαβομεν και χαριν αντι χαριτος"
Juan,1,17,Porque la ley por Moisés fué dada: mas la gracia y la verdad por Jesucristo fué hecha. οτι ο νομος δια μωυσεως εδοθη η χαρις και η αληθεια δια ιησου χριστου εγενετο
Juan,1,18,"A Dios nadie le vió jamás: el unigénito Hijo, que está en el seno del Padre, él le declaró. θεον ουδεις εωρακεν πωποτε μονογενης θεος ο ων εις τον κολπον του πατρος εκεινος εξηγησατο"
Juan,1,19,"Y éste es el testimonio de Juan, cuando los Judíos enviaron de Jerusalem sacerdotes y Levitas, que le preguntasen: ¿Tú, quién eres? και αυτη εστιν η μαρτυρια του ιωαννου οτε απεστειλαν προς αυτον οι ιουδαιοι εξ ιεροσολυμων ιερεις και λευιτας ινα ερωτησωσιν αυτον συ τις ει"
Juan,1,20,"Y confesó, y no negó; mas declaró: No soy yo el Cristo. και ωμολογησεν και ουκ ηρνησατο και ωμολογησεν οτι εγω ουκ ειμι ο χριστος"
Juan,1,21,Y le preguntaron: ¿Qué pues? ¿Eres tú Elías? Dijo: No soy. ¿Eres tú el profeta? Y respondió: No. και ηρωτησαν αυτον τι ουν [συ] ηλιας ει και λεγει ουκ ειμι ο προφητης ει συ και απεκριθη ου
Juan,1,22,Dijéronle: ¿Pues quién eres? para que demos respuesta a los que nos enviaron. ¿Qué dices de ti mismo? ειπαν ουν αυτω τις ει ινα αποκρισιν δωμεν τοις πεμψασιν ημας τι λεγεις περι σεαυτου
Juan,1,23,"Dijo: Yo soy la voz del que clama en el desierto: Enderezad el camino del Señor, como dijo Isaías profeta. εφη εγω φωνη βοωντος εν τη ερημω ευθυνατε την οδον κυριου καθως ειπεν ησαιας ο προφητης"
Juan,1,24,Y los que habían sido enviados eran de los Fariseos. και απεσταλμενοι ησαν εκ των φαρισαιων
Juan,1,25,"Y preguntáronle, y dijéronle: ¿Por qué pues bautizas, si tú no eres el Cristo, ni Elías, ni el profeta? και ηρωτησαν αυτον και ειπαν αυτω τι ουν βαπτιζεις ει συ ουκ ει ο χριστος ουδε ηλιας ουδε ο προφητης"
