Libro,Capítulo,Versículo,Texto
Judas,1,1,"Judas, siervo de Jesucristo, y hermano de Jacobo, a los llamados, santificados en Dios Padre, y conservados en Jesucristo: ιουδας ιησου χριστου δουλος αδελφος δε ιακωβου τοις εν θεω πατρι ηγαπημενοις και ιησου χριστω τετηρημενοις κλητοις"
Judas,1,2,"Misericordia, y paz, y amor os sean multiplicados. ελεος υμιν και ειρηνη και αγαπη πληθυνθειη"
Judas,1,3,"Amados, por la gran solicitud que tenía de escribiros de la común salud, me ha sido necesario escribiros amonestándoos que contendáis eficazmente por la fe que ha sido una vez dada a los santos. αγαπητοι πασαν σπουδην ποιουμενος γραφειν υμιν περι της κοινης ημων σωτηριας αναγκην εσχον γραψαι υμιν παρακαλων επαγωνιζεσθαι τη απαξ παραδοθειση τοις αγιοις πιστει"
Judas,1,4,"Porque algunos hombres han entrado encubiertamente, los cuales desde antes habían estado ordenados para esta condenación, hombres impíos, convirtiendo la gracia de nuestro Dios en disolución, y negando a Dios que solo es el que tiene dominio, y a nuestro Señor Jesucristo. παρεισεδυησαν γαρ τινες ανθρωποι οι παλαι προγεγραμμενοι εις τουτο το κριμα ασεβεις την του θεου ημων χαριτα μετατιθεντες εις ασελγειαν και τον μονον δεσποτην και κυριον ημων ιησουν χριστον αρνουμενοι"
Judas,1,5,"Os quiero pues amonestar, ya que alguna vez habéis sabido esto, que el Señor habiendo salvado al pueblo de Egipto, después destruyó a los que no creían: υπομνησαι δε υμας βουλομαι ειδοτας απαξ παντα οτι κυριος λαον εκ γης αιγυπτου σωσας το δευτερον τους μη πιστευσαντας απωλεσεν"
Judas,1,6,"Y a los ángeles que no guardaron su dignidad, mas dejaron su habitación, los ha reservado debajo de oscuridad en prisiones eternas hasta el juicio del gran día: αγγελους τε τους μη τηρησαντας την εαυτων αρχην αλλα απολιποντας το ιδιον οικητηριον εις κρισιν μεγαλης ημερας δεσμοις αιδιοις υπο ζοφον τετηρηκεν"
Judas,1,7,"Como Sodoma y Gomorra, y las ciudades comarcanas, las cuales de la misma manera que ellos habían fornicado, y habían seguido la carne extraña, fueron puestas por ejemplo: sufriendo el juicio del fuego eterno. ως σοδομα και γομορρα και αι περι αυτας πολεις τον ομοιον τροπον τουτοις εκπορνευσασαι και απελθουσαι οπισω σαρκος ετερας προκεινται δειγμα πυρος αιωνιου δικην υπεχουσαι"
Judas,1,8,"De la misma manera también estos soñadores amancillan la carne, y menosprecian la potestad, y vituperan las potestades superiores. ομοιως μεντοι και ουτοι ενυπνιαζομενοι σαρκα μεν μιαινουσιν κυριοτητα δε αθετουσιν δοξας δε βλασφημουσιν"
Judas,1,9,"Pero cuando el arcángel Miguel contendía con el diablo, disputando sobre el cuerpo de Moisés, no se atrevió a usar de juicio de maldición contra él, sino que dijo: El Señor te reprenda. ο δε μιχαηλ ο αρχαγγελος οτε τω διαβολω διακρινομενος διελεγετο περι του μωυσεως σωματος ουκ ετολμησεν κρισιν επενεγκειν βλασφημιας αλλα ειπεν επιτιμησαι σοι κυριος"
Judas,1,10,"Pero éstos maldicen las cosas que no conocen; y las cosas que naturalmente conocen, se corrompen en ellas, como bestias brutas. ουτοι δε οσα μεν ουκ οιδασιν βλασφημουσιν οσα δε φυσικως ως τα αλογα ζωα επιστανται εν τουτοις φθειρονται"
Judas,1,11,"Ay de ellos! porque han seguido el camino de Caín, y se lanzaron en el error de Balaam por recompensa, y perecieron en la contradicción de Coré. ουαι αυτοις οτι τη οδω του καιν επορευθησαν και τη πλανη του βαλααμ μισθου εξεχυθησαν και τη αντιλογια του κορε απωλοντο"
Judas,1,12,"Estos son manchas en vuestros convites, que banquetean juntamente, apacentándose a sí mismos sin temor alguno: nubes sin agua, las cuales son llevadas de acá para allá de los vientos: árboles marchitos como en otoño, sin fruto, dos veces muertos y desarraigados; ουτοι εισιν οι εν ταις αγαπαις υμων σπιλαδες συνευωχουμενοι αφοβως εαυτους ποιμαινοντες νεφελαι ανυδροι υπο ανεμων παραφερομεναι δενδρα φθινοπωρινα ακαρπα δις αποθανοντα εκριζωθεντα"
Judas,1,13,"fieras ondas de la mar, que espuman sus mismas abominaciones; estrellas erráticas, a las cuales es reservada eternalmente la oscuridad de las tinieblas. κυματα αγρια θαλασσης επαφριζοντα τας εαυτων αισχυνας αστερες πλανηται οις ο ζοφος του σκοτους εις αιωνα τετηρηται"
Judas,1,14,"De los cuales también profetizó Enoc, séptimo desde Adam, diciendo: He aquí, el Señor es venido con sus santos millares, επροφητευσεν δε και τουτοις εβδομος απο αδαμ ενωχ λεγων ιδου ηλθεν κυριος εν αγιαις μυριασιν αυτου"
Judas,1,15,"a hacer juicio contra todos, y a convencer a todos los impíos de entre ellos tocante a todas sus obras de impiedad que han hecho impíamente, y a todas las cosas duras que los pecadores impíos han hablado contra él. ποιησαι κρισιν κατα παντων και ελεγξαι παντας τους ασεβεις περι παντων των εργων ασεβειας αυτων ων ησεβησαν και περι παντων των σκληρων ων ελαλησαν κατ αυτου αμαρτωλοι ασεβεις"
Judas,1,16,"Estos son murmuradores, querellosos, andando según sus deseos; y su boca habla cosas soberbias, teniendo en admiración las personas por causa del provecho. ουτοι εισιν γογγυσται μεμψιμοιροι κατα τας επιθυμιας αυτων πορευομενοι και το στομα αυτων λαλει υπερογκα θαυμαζοντες προσωπα ωφελειας χαριν"
Judas,1,17,"Mas vosotros, amados, tened memoria de las palabras que antes han sido dichas por los apóstoles de nuestro Señor Jesucristo; υμεις δε αγαπητοι μνησθητε των ρηματων των προειρημενων υπο των αποστολων του κυριου ημων ιησου χριστου"
Judas,1,18,"como os decían: Que en el postrer tiempo habría burladores, que andarían según sus malvados deseos. οτι ελεγον υμιν επ εσχατου χρονου εσονται εμπαικται κατα τας εαυτων επιθυμιας πορευομενοι των ασεβειων"
Judas,1,19,"Estos son los que hacen divisiones, sensuales, no teniendo el Espíritu. ουτοι εισιν οι αποδιοριζοντες ψυχικοι πνευμα μη εχοντες"
Judas,1,20,"Mas vosotros, oh amados, edificándoos sobre vuestra santísima fe, orando por el Espíritu Santo. υμεις δε αγαπητοι εποικοδομουντες εαυτους τη αγιωτατη υμων πιστει εν πνευματι αγιω προσευχομενοι"
Judas,1,21,"Conservaos en el amor de Dios, esperando la misericordia de nuestro Señor Jesucristo, para vida eterna. εαυτους εν αγαπη θεου τηρησατε προσδεχομενοι το ελεος του κυριου ημων ιησου χριστου εις ζωην αιωνιον"
Judas,1,22,"Y recibid a los unos en piedad, discerniendo: και ους μεν ελεατε διακρινομενους σωζετε εκ πυρος αρπαζοντες"
