Libro,Capítulo,Versículo,Texto
Lucas,1,1,"Habiendo muchos tentado a poner en orden la historia de las cosas que entre nosotros han sido ciertísimas, επειδηπερ πολλοι επεχειρησαν αναταξασθαι διηγησιν περι των πεπληροφορημενων εν ημιν πραγματων"
Lucas,1,2,"como nos lo enseñaron los que desde el principio lo vieron por sus ojos, y fueron ministros de la palabra; καθως παρεδοσαν ημιν οι απ αρχης αυτοπται και υπηρεται γενομενοι του λογου"
Lucas,1,3,"me ha parecido también a mí, después de haber entendido todas las cosas desde el principio con diligencia, escribírtelas por orden, oh muy buen Teófilo, εδοξεν καμοι παρηκολουθηκοτι ανωθεν πασιν ακριβως καθεξης σοι γραψαι κρατιστε θεοφιλε"
Lucas,1,4,para que conozcas la verdad de las cosas en las cuales has sido enseñado. ινα επιγνως περι ων κατηχηθης λογων την ασφαλειαν
Lucas,1,5,"Hubo en los días de Herodes, rey de Judea, un sacerdote llamado Zacarías, de la suerte de Abías; y su mujer, de las hijas de Aarón, llamada Elisabet. εγενετο εν ταις ημεραις ηρωδου βασιλεως της ιουδαιας ιερευς τις ονοματι ζαχαριας εξ εφημεριας αβια και γυνη αυτω εκ των θυγατερων ααρων και το ονομα αυτης ελισαβετ"
Lucas,1,6,"Y eran ambos justos delante de Dios, andando sin reprensión en todos los mandamientos y estatutos del Señor. ησαν δε δικαιοι αμφοτεροι εναντιον του θεου πορευομενοι εν πασαις ταις εντολαις και δικαιωμασιν του κυριου αμεμπτοι"
Lucas,1,7,"Y no tenían hijo, porque Elisabet era estéril, y ambos eran avanzados en días. και ουκ ην αυτοις τεκνον καθοτι ην [η] ελισαβετ στειρα και αμφοτεροι προβεβηκοτες εν ταις ημεραις αυτων ησαν"
Lucas,1,8,"Y aconteció que ejerciendo Zacarías el sacerdocio delante de Dios por el orden de su vez, εγενετο δε εν τω ιερατευειν αυτον εν τη ταξει της εφημεριας αυτου εναντι του θεου"
Lucas,1,9,"conforme a la costumbre del sacerdocio, salió en suerte a poner el incienso, entrando en el templo del Señor. κατα το εθος της ιερατειας ελαχεν του θυμιασαι εισελθων εις τον ναον του κυριου"
Lucas,1,10,Y toda la multitud del pueblo estaba fuera orando a la hora del incienso. και παν το πληθος ην του λαου προσευχομενον εξω τη ωρα του θυμιαματος
Lucas,1,11,Y se le apareció el ángel del Señor puesto en pie a la derecha del altar del incienso. ωφθη δε αυτω αγγελος κυριου εστως εκ δεξιων του θυσιαστηριου του θυμιαματος
Lucas,1,12,"Y se turbó Zacarías viéndo le, y cayó temor sobre él. και εταραχθη ζαχαριας ιδων και φοβος επεπεσεν επ αυτον"
