Libro,Capítulo,Versículo,Texto
Marcos,1,1,"Principio del evangelio de Jesucristo, Hijo de Dios. αρχη του ευαγγελιου ιησου χριστου"
Marcos,1,2,"Como está escrito en Isaías el profeta: He aquí yo envío a mi mensajero delante de tu faz, Que apareje tu camino delante de ti. καθως γεγραπται εν τω ησαια τω προφητη ιδου αποστελλω τον αγγελον μου προ προσωπου σου ος κατασκευασει την οδον σου"
Marcos,1,3,Voz del que clama en el desierto: Aparejad el camino del Señor; Enderezad sus veredas. φωνη βοωντος εν τη ερημω ετοιμασατε την οδον κυριου ευθειας ποιειτε τας τριβους αυτου
Marcos,1,4,"Bautizaba Juan en el desierto, y predicaba el bautismo del arrepentimiento para remisión de pecados. εγενετο ιωαννης ο βαπτιζων εν τη ερημω κηρυσσων βαπτισμα μετανοιας εις αφεσιν αμαρτιων"
Marcos,1,5,"Y salía a él toda la provincia de Judea, y los de Jerusalem; y eran todos, bautizados por él en el río de Jordán, confesando sus pecados. και εξεπορευετο προς αυτον πασα η ιουδαια χωρα και οι ιεροσολυμιται παντες και εβαπτιζοντο υπ αυτου εν τω ιορδανη ποταμω εξομολογουμενοι τας αμαρτιας αυτων"
Marcos,1,6,"Y Juan andaba vestido de pelos de camello, y con un cinto de cuero alrededor de sus lomos; y comía langostas y miel silvestre. και ην ο ιωαννης ενδεδυμενος τριχας καμηλου και ζωνην δερματινην περι την οσφυν αυτου και εσθιων ακριδας και μελι αγριον"
Marcos,1,7,"Y predicaba, diciendo: Viene tras mí el que es más poderoso que yo, al cual no soy digno de desatar encorvado la correa de sus zapatos. και εκηρυσσεν λεγων ερχεται ο ισχυροτερος μου οπισω [μου] ου ουκ ειμι ικανος κυψας λυσαι τον ιμαντα των υποδηματων αυτου"
Marcos,1,8,"Yo a la verdad os he bautizado con agua; mas él os bautizará con Espíritu Santo. εγω εβαπτισα υμας υδατι αυτος δε βαπτισει υμας πνευματι αγιω"
Marcos,1,9,"Y aconteció en aquellos días, que Jesús vino de Nazaret de Galilea, y fué bautizado por Juan en el Jordán. και εγενετο εν εκειναις ταις ημεραις ηλθεν ιησους απο ναζαρετ της γαλιλαιας και εβαπτισθη εις τον ιορδανην υπο ιωαννου"
Marcos,1,10,"Y luego, subiendo del agua, vió abrirse los cielos, y al Espíritu como paloma, que descendía sobre él. και ευθυς αναβαινων εκ του υδατος ειδεν σχιζομενους τους ουρανους και το πνευμα ως περιστεραν καταβαινον εις αυτον"
Marcos,1,11,"Y hubo una voz de los cielos que decía: Tú eres mi Hijo amado; en ti tomo contentamiento. και φωνη [εγενετο] εκ των ουρανων συ ει ο υιος μου ο αγαπητος εν σοι ευδοκησα"
Marcos,1,12,"Y luego el Espíritu le impele al desierto. και ευθυς το πνευμα αυτον εκβαλλει εις την ερημον"
Marcos,1,13,"Y estuvo allí en el desierto cuarenta días, y era tentado de Satanás; y estaba con las fieras; y los ángeles le servían. και ην εν τη ερημω τεσσερακοντα ημερας πειραζομενος υπο του σατανα και ην μετα των θηριων και οι αγγελοι διηκονουν αυτω"
Marcos,1,14,"Mas después que Juan fué encarcelado, Jesús vino a Galilea predicando el evangelio del reino de Dios, και μετα το παραδοθηναι τον ιωαννην ηλθεν ο ιησους εις την γαλιλαιαν κηρυσσων το ευαγγελιον του θεου"
Marcos,1,15,"y diciendo: El tiempo es cumplido, y el reino de Dios está cerca: arrepentíos, y creed al evangelio. [και λεγων] οτι πεπληρωται ο καιρος και ηγγικεν η βασιλεια του θεου μετανοειτε και πιστευετε εν τω ευαγγελιω"
Marcos,1,16,"Y pasando junto a la mar de Galilea, vió a Simón, y a Andrés su hermano, que echaban la red en la mar; porque eran pescadores. και παραγων παρα την θαλασσαν της γαλιλαιας ειδεν σιμωνα και ανδρεαν τον αδελφον σιμωνος αμφιβαλλοντας εν τη θαλασση ησαν γαρ αλιεις"
Marcos,1,17,"Y les dijo Jesús: Venid en pos de mí, y haré que seáis pescadores de hombres. και ειπεν αυτοις ο ιησους δευτε οπισω μου και ποιησω υμας γενεσθαι αλιεις ανθρωπων"
Marcos,1,18,"Y luego, dejadas sus redes, le siguieron. και ευθυς αφεντες τα δικτυα ηκολουθησαν αυτω"
Marcos,1,19,"Y pasando de allí un poco más adelante, vió a Jacobo, hijo de Zebedeo, y a Juan su hermano, también ellos en el navío, que aderezaban las redes. και προβας ολιγον ειδεν ιακωβον τον του ζεβεδαιου και ιωαννην τον αδελφον αυτου και αυτους εν τω πλοιω καταρτιζοντας τα δικτυα"
