Libro,Capítulo,Versículo,Texto
Mateo,1,1,"Libro de la generación de Jesucristo, hijo de David, hijo de Abraham. βιβλος γενεσεως ιησου χριστου υιου δαυιδ υιου αβρααμ"
Mateo,1,2,"Abraham engendró a Isaac: e Isaac engendró a Jacob: y Jacob engendró a Judas y a sus hermanos: αβρααμ εγεννησεν τον ισαακ ισαακ δε εγεννησεν τον ιακωβ ιακωβ δε εγεννησεν τον ιουδαν και τους αδελφους αυτου"
Mateo,1,3,"Y Judas engendró de Thamar a Phares y a Zara: y Phares engendró a Esrom: y Esrom engendró a Aram: ιουδας δε εγεννησεν τον φαρες και τον ζαρα εκ της θαμαρ φαρες δε εγεννησεν τον εσρωμ εσρωμ δε εγεννησεν τον αραμ"
Mateo,1,4,"Y Aram engendró a Aminadab: y Aminadab engendró a Naassón: y Naassón engendró a Salmón: αραμ δε εγεννησεν τον αμιναδαβ αμιναδαβ δε εγεννησεν τον ναασσων ναασσων δε εγεννησεν τον σαλμων"
Mateo,1,5,"Y Salmón engendró de Rachâb a Booz, y Booz engendró de Ruth a Obed y Obed engendró a Jessé: σαλμων δε εγεννησεν τον βοες εκ της ραχαβ βοες δε εγεννησεν τον ιωβηδ εκ της ρουθ ιωβηδ δε εγεννησεν τον ιεσσαι"
Mateo,1,6,"Y Jessé engendró al rey David: y el rey David engendró a Salomón de la que fué mujer de Urías: ιεσσαι δε εγεννησεν τον δαυιδ τον βασιλεα δαυιδ δε εγεννησεν τον σολομωνα εκ της του ουριου"
Mateo,1,7,"Y Salomón engendró a Roboam: y Roboam engendró a Abía: y Abía engendró a Asa: σολομων δε εγεννησεν τον ροβοαμ ροβοαμ δε εγεννησεν τον αβια αβια δε εγεννησεν τον ασαφ"
Mateo,1,8,"Y Asa engendró a Josaphat: y Josaphat engendró a Joram: y Joram engendró a Ozías: ασαφ δε εγεννησεν τον ιωσαφατ ιωσαφατ δε εγεννησεν τον ιωραμ ιωραμ δε εγεννησεν τον οζιαν"
Mateo,1,9,"Y Ozías engendró a Joatam: y Joatam engendró a Achâz: y Achâz engendró a Ezechîas: οζιας δε εγεννησεν τον ιωαθαμ ιωαθαμ δε εγεννησεν τον αχας αχας δε εγεννησεν τον εζεκιαν"
Mateo,1,10,"Y Ezechîas engendró a Manasés: y Manasés engendró a Amón: y Amón engendró a Josías: εζεκιας δε εγεννησεν τον μανασση μανασσης δε εγεννησεν τον αμως αμως δε εγεννησεν τον ιωσιαν"
Mateo,1,11,"Y Josías engendró a Jechônías y a sus hermanos, en la transmigración de Babilonia. ιωσιας δε εγεννησεν τον ιεχονιαν και τους αδελφους αυτου επι της μετοικεσιας βαβυλωνος"
Mateo,1,12,"Y después de la transmigración de Babilonia, Jechônías engendró a Salathiel: y Salathiel engendró a Zorobabel: μετα δε την μετοικεσιαν βαβυλωνος ιεχονιας εγεννησεν τον σαλαθιηλ σαλαθιηλ δε εγεννησεν τον ζοροβαβελ"
Mateo,1,13,"Y Zorobabel engendró a Abiud: y Abiud engendró a Eliachîm: y Eliachîm engendró a Azor: ζοροβαβελ δε εγεννησεν τον αβιουδ αβιουδ δε εγεννησεν τον ελιακιμ ελιακιμ δε εγεννησεν τον αζωρ"
Mateo,1,14,"Y Azor engendró a Sadoc: y Sadoc engendró a Achîm: y Achîm engendró a Eliud: αζωρ δε εγεννησεν τον σαδωκ σαδωκ δε εγεννησεν τον αχιμ αχιμ δε εγεννησεν τον ελιουδ"
Mateo,1,15,"Y Eliud engendró a Eleazar: y Eleazar engendró a Mathán: y Mathán engendró a Jacob: ελιουδ δε εγεννησεν τον ελεαζαρ ελεαζαρ δε εγεννησεν τον ματθαν ματθαν δε εγεννησεν τον ιακωβ"
Mateo,1,16,"Y Jacob engendró a José, marido de María, de la cual nació Jesús, el cual es llamado el Cristo. ιακωβ δε εγεννησεν τον ιωσηφ τον ανδρα μαριας εξ ης εγεννηθη ιησους ο λεγομενος χριστος"
Mateo,1,17,"De manera que todas las generaciones desde Abraham hasta David son catorce generaciones: y desde David hasta la transmigración de Babilonia, catorce generaciones: y desde la transmigración de Babilonia hasta Cristo, catorce generaciones. πασαι ουν αι γενεαι απο αβρααμ εως δαυιδ γενεαι δεκατεσσαρες και απο δαυιδ εως της μετοικεσιας βαβυλωνος γενεαι δεκατεσσαρες και απο της μετοικεσιας βαβυλωνος εως του χριστου γενεαι δεκατεσσαρες"
Mateo,1,18,"Y el nacimiento de Jesucristo fué así: Que siendo María su madre desposada con José, antes que se juntasen, se halló haber concebido del Espíritu Santo. του δε [ιησου] χριστου η γενεσις ουτως ην μνηστευθεισης της μητρος αυτου μαριας τω ιωσηφ πριν η συνελθειν αυτους ευρεθη εν γαστρι εχουσα εκ πνευματος αγιου"
Mateo,1,19,"Y José su marido, como era justo, y no quisiese infamarla, quiso dejarla secretamente. ιωσηφ δε ο ανηρ αυτης δικαιος ων και μη θελων αυτην δειγματισαι εβουληθη λαθρα απολυσαι αυτην"
Mateo,1,20,"Y pensando él en esto, he aquí el ángel del Señor le aparece en sueños, diciendo: José, hijo de David, no temas de recibir a María tu mujer, porque lo que en ella es engendrado, del Espíritu Santo es. ταυτα δε αυτου ενθυμηθεντος ιδου αγγελος κυριου κατ οναρ εφανη αυτω λεγων ιωσηφ υιος δαυιδ μη φοβηθης παραλαβειν μαριαν την γυναικα σου το γαρ εν αυτη γεννηθεν εκ πνευματος εστιν αγιου"
Mateo,1,21,"Y parirá un hijo, y llamarás su nombre Jesús, porque él salvará a su pueblo de sus pecados. τεξεται δε υιον και καλεσεις το ονομα αυτου ιησουν αυτος γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων"
Mateo,1,22,"Todo esto aconteció para que se cumpliese lo que fué dicho por el Señor, por el profeta que dijo: τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο κυριου δια του προφητου λεγοντος"
Mateo,1,23,"He aquí la virgen concebirá y parirá un hijo, y llamarás su nombre Emmanuel, que declarado, es: Con nosotros Dios. ιδου η παρθενος εν γαστρι εξει και τεξεται υιον και καλεσουσιν το ονομα αυτου εμμανουηλ ο εστιν μεθερμηνευομενον μεθ ημων ο θεος"
Mateo,1,24,"Y despertando José del sueño, hizo como el ángel del Señor le había mandado, y recibió a su mujer. εγερθεις δε [ο] ιωσηφ απο του υπνου εποιησεν ως προσεταξεν αυτω ο αγγελος κυριου και παρελαβεν την γυναικα αυτου"
Mateo,1,25,"Y no la conoció hasta que parió a su hijo primogénito: y llamó su nombre Jesús. και ουκ εγινωσκεν αυτην εως [ου] ετεκεν υιον και εκαλεσεν το ονομα αυτου ιησουν"
Mateo,2,1,"Y como fué nacido Jesús en Bethlehem de Judea en días del rey Herodes, he aquí unos magos vinieron del oriente a Jerusalem, του δε ιησου γεννηθεντος εν βηθλεεμ της ιουδαιας εν ημεραις ηρωδου του βασιλεως ιδου μαγοι απο ανατολων παρεγενοντο εις ιεροσολυμα"
Mateo,2,2,"diciendo: ¿Dónde está el Rey de los Judíos, que ha nacido? porque su estrella hemos visto en el oriente, y venimos a adorarle. λεγοντες που εστιν ο τεχθεις βασιλευς των ιουδαιων ειδομεν γαρ αυτου τον αστερα εν τη ανατολη και ηλθομεν προσκυνησαι αυτω"
Mateo,2,3,"Y oyendo esto el rey Herodes, se turbó, y toda Jerusalem con él. ακουσας δε ο βασιλευς ηρωδης εταραχθη και πασα ιεροσολυμα μετ αυτου"
Mateo,2,4,"Y convocados todos los príncipes de los sacerdotes, y los escribas del pueblo, les preguntó dónde había de nacer el Cristo. και συναγαγων παντας τους αρχιερεις και γραμματεις του λαου επυνθανετο παρ αυτων που ο χριστος γενναται"
