Libro,Capítulo,Versículo,Texto
1 Corintios,1,1,"Pablo, llamado a ser apóstol de Jesucristo por la voluntad de Dios, y Sóstenes el hermano, παυλος κλητος αποστολος ιησου χριστου δια θεληματος θεου και σωσθενης ο αδελφος"
1 Corintios,1,2,"a la iglesia de Dios que está en Corinto, santificados en Cristo Jesús, llamados santos, y a todos los que invocan el nombre de nuestro Señor Jesucristo en cualquier lugar, Señor de ellos y nuestro: τη εκκλησια του θεου τη ουση εν κορινθω ηγιασμενοις εν χριστω ιησου κλητοις αγιοις συν πασιν τοις επικαλουμενοις το ονομα του κυριου ημων ιησου χριστου εν παντι τοπω αυτων και ημων"
1 Corintios,1,3,"Gracia y paz de Dios nuestro Padre, y del Señor Jesucristo. χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου"
1 Corintios,1,4,"Gracias doy a mi Dios siempre por vosotros, por la gracia de Dios que os es dada en Cristo Jesús; ευχαριστω τω θεω παντοτε περι υμων επι τη χαριτι του θεου τη δοθειση υμιν εν χριστω ιησου"
1 Corintios,1,5,"que en todas las cosas sois enriquecidos en él, en toda lengua y en toda ciencia; οτι εν παντι επλουτισθητε εν αυτω εν παντι λογω και παση γνωσει"
1 Corintios,1,6,así como el testimonio de Cristo ha sido confirmado en vosotros: καθως το μαρτυριον του χριστου εβεβαιωθη εν υμιν
1 Corintios,1,7,"De tal manera que nada os falte en ningún don, esperando la manifestación de nuestro Señor Jesucristo: ωστε υμας μη υστερεισθαι εν μηδενι χαρισματι απεκδεχομενους την αποκαλυψιν του κυριου ημων ιησου χριστου"
1 Corintios,1,8,"El cual también os confirmará hasta el fin, para que seáis sin falta en el día de nuestro Señor Jesucristo. ος και βεβαιωσει υμας εως τελους ανεγκλητους εν τη ημερα του κυριου ημων ιησου [χριστου]"
1 Corintios,1,9,"Fiel es Dios, por el cual sois llamados a la participación de su Hijo Jesucristo nuestro Señor. πιστος ο θεος δι ου εκληθητε εις κοινωνιαν του υιου αυτου ιησου χριστου του κυριου ημων"
1 Corintios,1,10,"Os ruego pues, hermanos, por el nombre de nuestro Señor Jesucristo, que habléis todos una misma cosa, y que no haya entre vosotros disensiones, antes seáis perfectamente unidos en una misma mente y en un mismo parecer. παρακαλω δε υμας αδελφοι δια του ονοματος του κυριου ημων ιησου χριστου ινα το αυτο λεγητε παντες και μη η εν υμιν σχισματα ητε δε κατηρτισμενοι εν τω αυτω νοι και εν τη αυτη γνωμη"
1 Corintios,1,11,"Porque me ha sido declarado de vosotros, hermanos míos, por los que son de Cloé, que hay entre vosotros contiendas; εδηλωθη γαρ μοι περι υμων αδελφοι μου υπο των χλοης οτι εριδες εν υμιν εισιν"
1 Corintios,1,12,"quiero decir, que cada uno de vosotros dice: Yo cierto soy de Pablo; pues yo de Apolos; y yo de Cefas; y yo de Cristo. λεγω δε τουτο οτι εκαστος υμων λεγει εγω μεν ειμι παυλου εγω δε απολλω εγω δε κηφα εγω δε χριστου"
1 Corintios,1,13,¿Está dividido Cristo? ¿Fué crucificado Pablo por vosotros? ¿ó habéis sido bautizados en el nombre de Pablo? μεμερισται ο χριστος μη παυλος εσταυρωθη υπερ υμων η εις το ονομα παυλου εβαπτισθητε
1 Corintios,1,14,"Doy gracias a Dios, que a ninguno de vosotros he bautizado, sino a Crispo y a Gayo; ευχαριστω οτι ουδενα υμων εβαπτισα ει μη κρισπον και γαιον"
1 Corintios,1,15,para que ninguno diga que habéis sido bautizados en mi nombre. ινα μη τις ειπη οτι εις το εμον ονομα εβαπτισθητε
1 Corintios,1,16,Y también bauticé la familia de Estéfanas: mas no sé si he bautizado algún otro. εβαπτισα δε και τον στεφανα οικον λοιπον ουκ οιδα ει τινα αλλον εβαπτισα
1 Corintios,1,17,"Porque no me envió Cristo a bautizar, sino a predicar el evangelio: no en sabiduría de palabras, porque no sea hecha vana la cruz de Cristo. ου γαρ απεστειλεν με χριστος βαπτιζειν αλλα ευαγγελιζεσθαι ουκ εν σοφια λογου ινα μη κενωθη ο σταυρος του χριστου"
1 Corintios,1,18,"Porque la palabra de la cruz es locura a los que se pierden; mas a los que se salvan, es a saber, a nosotros, es potencia de Dios. ο λογος γαρ ο του σταυρου τοις μεν απολλυμενοις μωρια εστιν τοις δε σωζομενοις ημιν δυναμις θεου εστιν"
1 Corintios,1,19,"Porque está escrito: Destruiré la sabiduría de los sabios, Y desecharé la inteligencia de los entendidos. γεγραπται γαρ απολω την σοφιαν των σοφων και την συνεσιν των συνετων αθετησω"
1 Corintios,1,20,¿Qué es del sabio? ¿qué del escriba? ¿qué del escudriñador de este siglo? ¿no ha enloquecido Dios la sabiduría del mundo? που σοφος που γραμματευς που συζητητης του αιωνος τουτου ουχι εμωρανεν ο θεος την σοφιαν του κοσμου
1 Corintios,1,21,"Porque por no haber el mundo conocido en la sabiduría de Dios a Dios por sabiduría, agradó a Dios salvar a los creyentes por la locura de la predicación. επειδη γαρ εν τη σοφια του θεου ουκ εγνω ο κοσμος δια της σοφιας τον θεον ευδοκησεν ο θεος δια της μωριας του κηρυγματος σωσαι τους πιστευοντας"
1 Corintios,1,22,"Porque los Judíos piden señales, y los Griegos buscan sabiduría: επειδη και ιουδαιοι σημεια αιτουσιν και ελληνες σοφιαν ζητουσιν"
1 Corintios,1,23,"Mas nosotros predicamos a Cristo crucificado, a los Judíos ciertamente tropezadero, y a los Gentiles locura; ημεις δε κηρυσσομεν χριστον εσταυρωμενον ιουδαιοις μεν σκανδαλον εθνεσιν δε μωριαν"
1 Corintios,1,24,"empero a los llamados, así Judíos como Griegos, Cristo potencia de Dios, y sabiduría de Dios. αυτοις δε τοις κλητοις ιουδαιοις τε και ελλησιν χριστον θεου δυναμιν και θεου σοφιαν"
1 Corintios,1,25,Porque lo loco de Dios es más sabio que los hombres; y lo flaco de Dios es más fuerte que los hombres. οτι το μωρον του θεου σοφωτερον των ανθρωπων εστιν και το ασθενες του θεου ισχυροτερον των ανθρωπων
1 Corintios,1,26,"Porque mirad, hermanos, vuestra vocación, que no sois muchos sabios según la carne, no muchos poderosos, no muchos nobles; βλεπετε γαρ την κλησιν υμων αδελφοι οτι ου πολλοι σοφοι κατα σαρκα ου πολλοι δυνατοι ου πολλοι ευγενεις"
1 Corintios,1,27,"antes lo necio del mundo escogió Dios, para avergonzar a los sabios; y lo flaco del mundo escogió Dios, para avergonzar lo fuerte; αλλα τα μωρα του κοσμου εξελεξατο ο θεος ινα καταισχυνη τους σοφους και τα ασθενη του κοσμου εξελεξατο ο θεος ινα καταισχυνη τα ισχυρα"
1 Corintios,1,28,"y lo vil del mundo y lo menos preciado escogió Dios, y lo que no es, para deshacer lo que es: και τα αγενη του κοσμου και τα εξουθενημενα εξελεξατο ο θεος [και] τα μη οντα ινα τα οντα καταργηση"
1 Corintios,1,29,Para que ninguna carne se jacte en su presencia. οπως μη καυχησηται πασα σαρξ ενωπιον του θεου
1 Corintios,1,30,"Mas de él sois vosotros en Cristo Jesús, el cual nos ha sido hecho por Dios sabiduría, y justificación, y santificación, y redención: εξ αυτου δε υμεις εστε εν χριστω ιησου ος εγενηθη σοφια ημιν απο θεου δικαιοσυνη τε και αγιασμος και απολυτρωσις"
1 Corintios,1,31,"Para que, como está escrito: El que se gloría, gloríese en el Señor. ινα καθως γεγραπται ο καυχωμενος εν κυριω καυχασθω"
1 Corintios,2,1,"Así que, hermanos, cuando fuí a vosotros, no fuí con altivez de palabra, ó de sabiduría, a anunciaros el testimonio de Cristo. καγω ελθων προς υμας αδελφοι ηλθον ου καθ υπεροχην λογου η σοφιας καταγγελλων υμιν το μυστηριον του θεου"
1 Corintios,2,2,"Porque no me propuse saber algo entre vosotros, sino a Jesucristo, y a éste crucificado. ου γαρ εκρινα τι ειδεναι εν υμιν ει μη ιησουν χριστον και τουτον εσταυρωμενον"
1 Corintios,2,3,"Y estuve yo con vosotros con flaqueza, y mucho temor y temblor; καγω εν ασθενεια και εν φοβω και εν τρομω πολλω εγενομην προς υμας"
1 Corintios,2,4,"y ni mi palabra ni mi predicación fué con palabras persuasivas de humana sabiduría, mas con demostración del Espíritu y de poder; και ο λογος μου και το κηρυγμα μου ουκ εν πειθοις σοφιας λογοις αλλ εν αποδειξει πνευματος και δυναμεως"
1 Corintios,2,5,"para que vuestra fe no esté fundada en sabiduría de hombres, mas en poder de Dios. ινα η πιστις υμων μη η εν σοφια ανθρωπων αλλ εν δυναμει θεου"
1 Corintios,2,6,"Empero hablamos sabiduría de Dios entre perfectos; y sabiduría, no de este siglo, ni de los príncipes de este siglo, que se deshacen: σοφιαν δε λαλουμεν εν τοις τελειοις σοφιαν δε ου του αιωνος τουτου ουδε των αρχοντων του αιωνος τουτου των καταργουμενων"
1 Corintios,2,7,"Mas hablamos sabiduría de Dios en misterio, la sabiduría oculta, la cual Dios predestinó antes de los siglos para nuestra gloria: αλλα λαλουμεν θεου σοφιαν εν μυστηριω την αποκεκρυμμενην ην προωρισεν ο θεος προ των αιωνων εις δοξαν ημων"
1 Corintios,2,8,"La que ninguno de los príncipes de este siglo conoció; porque si la hubieran conocido, nunca hubieran crucificado al Señor de gloria: ην ουδεις των αρχοντων του αιωνος τουτου εγνωκεν ει γαρ εγνωσαν ουκ αν τον κυριον της δοξης εσταυρωσαν"
1 Corintios,2,9,"Antes, como está escrito: Cosas que ojo no vió, ni oreja oyó, Ni han subido en corazón de hombre, Son las que ha Dios preparado para aquellos que le aman. αλλα καθως γεγραπται α οφθαλμος ουκ ειδεν και ους ουκ ηκουσεν και επι καρδιαν ανθρωπου ουκ ανεβη οσα ητοιμασεν ο θεος τοις αγαπωσιν αυτον"
1 Corintios,2,10,"Empero Dios nos lo reveló a nosotros por el Espíritu: porque el Espíritu todo lo escudriña, aun lo profundo de Dios. ημιν γαρ απεκαλυψεν ο θεος δια του πνευματος το γαρ πνευμα παντα εραυνα και τα βαθη του θεου"
1 Corintios,2,11,"Porque ¿quién de los hombres sabe las cosas del hombre, sino el espíritu del hombre que está en él? Así tampoco nadie conoció las cosas de Dios, sino el Espíritu de Dios. τις γαρ οιδεν ανθρωπων τα του ανθρωπου ει μη το πνευμα του ανθρωπου το εν αυτω ουτως και τα του θεου ουδεις εγνωκεν ει μη το πνευμα του θεου"
1 Corintios,2,12,"Y nosotros hemos recibido, no el espíritu del mundo, sino el Espíritu que es de Dios, para que conozcamos lo que Dios nos ha dado; ημεις δε ου το πνευμα του κοσμου ελαβομεν αλλα το πνευμα το εκ του θεου ινα ειδωμεν τα υπο του θεου χαρισθεντα ημιν"
1 Corintios,2,13,"lo cual también hablamos, no con doctas palabras de humana sabiduría, mas con doctrina del Espíritu, acomodando lo espiritual a lo espiritual. α και λαλουμεν ουκ εν διδακτοις ανθρωπινης σοφιας λογοις αλλ εν διδακτοις πνευματος πνευματικοις πνευματικα συγκρινοντες"
1 Corintios,2,14,"Mas el hombre animal no percibe las cosas que son del Espíritu de Dios, porque le son locura: y no las puede entender, porque se han de examinar espiritualmente. ψυχικος δε ανθρωπος ου δεχεται τα του πνευματος του θεου μωρια γαρ αυτω εστιν και ου δυναται γνωναι οτι πνευματικως ανακρινεται"
1 Corintios,2,15,Empero el espiritual juzga todas las cosas; mas él no es juzgado de nadie. ο δε πνευματικος ανακρινει μεν παντα αυτος δε υπ ουδενος ανακρινεται
1 Corintios,2,16,Porque ¿quién conoció la mente del Señor? ¿quién le instruyó? Mas nosotros tenemos la mente de Cristo. τις γαρ εγνω νουν κυριου ος συμβιβασει αυτον ημεις δε νουν χριστου εχομεν
1 Corintios,3,1,"De manera que yo, hermanos, no pude hablaros como a espirituales, sino como a carnales, como a niños en Cristo. καγω αδελφοι ουκ ηδυνηθην λαλησαι υμιν ως πνευματικοις αλλ ως σαρκινοις ως νηπιοις εν χριστω"
1 Corintios,3,2,"Os dí a beber leche, y no vianda: porque aun no podíais, ni aun podéis ahora; γαλα υμας εποτισα ου βρωμα ουπω γαρ εδυνασθε αλλ ουδε [ετι] νυν δυνασθε"
1 Corintios,3,3,"porque todavía sois carnales: pues habiendo entre vosotros celos, y contiendas, y disensiones, ¿no sois carnales, y andáis como hombres? ετι γαρ σαρκικοι εστε οπου γαρ εν υμιν ζηλος και ερις ουχι σαρκικοι εστε και κατα ανθρωπον περιπατειτε"
1 Corintios,3,4,Porque diciendo el uno: Yo cierto soy de Pablo; y el otro: Yo de Apolos; ¿no sois carnales? οταν γαρ λεγη τις εγω μεν ειμι παυλου ετερος δε εγω απολλω ουκ ανθρωποι εστε
1 Corintios,3,5,¿Qué pues es Pablo? ¿y qué es Apolos? Ministros por los cuales habéis creído; y eso según que a cada uno ha concedido el Señor. τι ουν εστιν απολλως τι δε εστιν παυλος διακονοι δι ων επιστευσατε και εκαστω ως ο κυριος εδωκεν
1 Corintios,3,6,"Yo planté, Apolos regó: mas Dios ha dado el crecimiento. εγω εφυτευσα απολλως εποτισεν αλλα ο θεος ηυξανεν"
1 Corintios,3,7,"Así que, ni el que planta es algo, ni el que riega; sino Dios, que da el crecimiento. ωστε ουτε ο φυτευων εστιν τι ουτε ο ποτιζων αλλ ο αυξανων θεος"
1 Corintios,3,8,Y el que planta y el que riega son una misma cosa; aunque cada uno recibirá su recompensa conforme a su labor. ο φυτευων δε και ο ποτιζων εν εισιν εκαστος δε τον ιδιον μισθον λημψεται κατα τον ιδιον κοπον
1 Corintios,3,9,"Porque nosotros, coadjutores somos de Dios; y vosotros labranza de Dios sois, edificio de Dios sois. θεου γαρ εσμεν συνεργοι θεου γεωργιον θεου οικοδομη εστε"
1 Corintios,3,10,"Conforme a la gracia de Dios que me ha sido dada, yo como perito arquitecto puse el fundamento, y otro edifica encima: empero cada uno vea cómo sobreedifica. κατα την χαριν του θεου την δοθεισαν μοι ως σοφος αρχιτεκτων θεμελιον εθηκα αλλος δε εποικοδομει εκαστος δε βλεπετω πως εποικοδομει"
1 Corintios,3,11,"Porque nadie puede poner otro fundamento que el que está puesto, el cual es Jesucristo. θεμελιον γαρ αλλον ουδεις δυναται θειναι παρα τον κειμενον ος εστιν ιησους χριστος"
1 Corintios,3,12,"Y si alguno edificare sobre este fundamento oro, plata, piedras preciosas, madera, heno, hojarasca; ει δε τις εποικοδομει επι τον θεμελιον χρυσιον αργυριον λιθους τιμιους ξυλα χορτον καλαμην"
1 Corintios,3,13,"la obra de cada uno será manifestada: porque el día la declarará; porque por el fuego será manifestada; y la obra de cada uno cuál sea, el fuego hará la prueba. εκαστου το εργον φανερον γενησεται η γαρ ημερα δηλωσει οτι εν πυρι αποκαλυπτεται και εκαστου το εργον οποιον εστιν το πυρ αυτο δοκιμασει"
1 Corintios,3,14,"Si permaneciere la obra de alguno que sobreedificó, recibirá recompensa. ει τινος το εργον μενει ο εποικοδομησεν μισθον λημψεται"
1 Corintios,3,15,"Si la obra de alguno fuere quemada, será perdida: él empero será salvo, mas así como por fuego. ει τινος το εργον κατακαησεται ζημιωθησεται αυτος δε σωθησεται ουτως δε ως δια πυρος"
1 Corintios,3,16,"¿No sabéis que sois templo de Dios, y que el Espíritu de Dios mora en vosotros? ουκ οιδατε οτι ναος θεου εστε και το πνευμα του θεου εν υμιν οικει"
1 Corintios,3,17,"Si alguno violare el templo de Dios, Dios destruirá al tal: porque el templo de Dios, el cual sois vosotros, santo es. ει τις τον ναον του θεου φθειρει φθερει τουτον ο θεος ο γαρ ναος του θεου αγιος εστιν οιτινες εστε υμεις"
1 Corintios,3,18,"Nadie se engañe a sí mismo: si alguno entre vosotros parece ser sabio en este siglo, hágase simple, para ser sabio. μηδεις εαυτον εξαπατατω ει τις δοκει σοφος ειναι εν υμιν εν τω αιωνι τουτω μωρος γενεσθω ινα γενηται σοφος"
1 Corintios,3,19,Porque la sabiduría de esta mundo es necedad para con Dios; pues escrito está: El que prende a los sabios en la astucia de ellos. η γαρ σοφια του κοσμου τουτου μωρια παρα τω θεω εστιν γεγραπται γαρ ο δρασσομενος τους σοφους εν τη πανουργια αυτων
1 Corintios,3,20,"Y otra vez: El Señor conoce los pensamientos de los sabios, que son vanos. και παλιν κυριος γινωσκει τους διαλογισμους των σοφων οτι εισιν ματαιοι"
1 Corintios,3,21,"Así que, ninguno se gloríe en los hombres; porque todo es vuestro, ωστε μηδεις καυχασθω εν ανθρωποις παντα γαρ υμων εστιν"
1 Corintios,3,22,"sea Pablo, sea Apolos, sea Cefas, sea el mundo, sea la vida, sea la muerte, sea lo presente, sea los por venir; todo es vuestro; ειτε παυλος ειτε απολλως ειτε κηφας ειτε κοσμος ειτε ζωη ειτε θανατος ειτε ενεστωτα ειτε μελλοντα παντα υμων"
1 Corintios,3,23,y vosotros de Cristo; y Cristo de Dios. υμεις δε χριστου χριστος δε θεου
1 Corintios,4,1,"Téngannos los hombres por ministros de Cristo, y dispensadores de los misterios de Dios. ουτως ημας λογιζεσθω ανθρωπος ως υπηρετας χριστου και οικονομους μυστηριων θεου"
1 Corintios,4,2,"Mas ahora se requiere en los dispensadores, que cada uno sea hallado fiel. ωδε λοιπον ζητειται εν τοις οικονομοις ινα πιστος τις ευρεθη"
1 Corintios,4,3,"Yo en muy poco tengo el ser juzgado de vosotros, ó de juicio humano; y ni aun yo me juzgo. εμοι δε εις ελαχιστον εστιν ινα υφ υμων ανακριθω η υπο ανθρωπινης ημερας αλλ ουδε εμαυτον ανακρινω"
1 Corintios,4,4,"Porque aunque de nada tengo mala conciencia, no por eso soy justificado; mas el que me juzga, el Señor es. ουδεν γαρ εμαυτω συνοιδα αλλ ουκ εν τουτω δεδικαιωμαι ο δε ανακρινων με κυριος εστιν"
1 Corintios,4,5,"Así que, no juzguéis nada antes de tiempo, hasta que venga el Señor, el cual también aclarará lo oculto de las tinieblas, y manifestará los intentos de los corazones: y entonces cada uno tendrá de Dios la alabanza. ωστε μη προ καιρου τι κρινετε εως αν ελθη ο κυριος ος και φωτισει τα κρυπτα του σκοτους και φανερωσει τας βουλας των καρδιων και τοτε ο επαινος γενησεται εκαστω απο του θεου"
1 Corintios,4,6,"Esto empero, hermanos, he pasado por ejemplo en mí y en Apolos por amor de vosotros; para que en nosotros aprendáis a no saber más de lo que está escrito, hinchándoos por causa de otro el uno contra el otro. ταυτα δε αδελφοι μετεσχηματισα εις εμαυτον και απολλων δι υμας ινα εν ημιν μαθητε το μη υπερ α γεγραπται ινα μη εις υπερ του ενος φυσιουσθε κατα του ετερου"
1 Corintios,4,7,"Porque ¿quién te distingue? ¿ó qué tienes que no hayas recibido? Y si lo recibiste, ¿de qué te glorías como si no hubieras recibido? τις γαρ σε διακρινει τι δε εχεις ο ουκ ελαβες ει δε και ελαβες τι καυχασαι ως μη λαβων"
1 Corintios,4,8,"Ya estáis hartos, ya estáis ricos, sin nosotros reináis; y ojalá reinéis, para que nosotros reinemos también juntamente con vosotros. ηδη κεκορεσμενοι εστε ηδη επλουτησατε χωρις ημων εβασιλευσατε και οφελον γε εβασιλευσατε ινα και ημεις υμιν συμβασιλευσωμεν"
1 Corintios,4,9,"Porque a lo que pienso, Dios nos ha mostrado a nosotros los apóstoles por los postreros, como a sentenciados a muerte: porque somos hechos espectáculo al mundo, y a los ángeles, y a los hombres. δοκω γαρ ο θεος ημας τους αποστολους εσχατους απεδειξεν ως επιθανατιους οτι θεατρον εγενηθημεν τω κοσμω και αγγελοις και ανθρωποις"
1 Corintios,4,10,"Nosotros necios por amor de Cristo, y vosotros prudentes en Cristo; nosotros flacos, y vosotros fuertes; vosotros nobles, y nosotros viles. ημεις μωροι δια χριστον υμεις δε φρονιμοι εν χριστω ημεις ασθενεις υμεις δε ισχυροι υμεις ενδοξοι ημεις δε ατιμοι"
1 Corintios,4,11,"Hasta esta hora hambreamos, y tenemos sed, y estamos desnudos, y somos heridos de golpes, y andamos vagabundos; αχρι της αρτι ωρας και πεινωμεν και διψωμεν και γυμνιτευομεν και κολαφιζομεθα και αστατουμεν"
1 Corintios,4,12,"y trabajamos, obrando con nuestras manos: nos maldicen, y bendecimos: padecemos persecución, y sufrimos: και κοπιωμεν εργαζομενοι ταις ιδιαις χερσιν λοιδορουμενοι ευλογουμεν διωκομενοι ανεχομεθα"
1 Corintios,4,13,"Somos blasfemados, y rogamos: hemos venido a ser como la hez del mundo, el desecho de todos hasta ahora. δυσφημουμενοι παρακαλουμεν ως περικαθαρματα του κοσμου εγενηθημεν παντων περιψημα εως αρτι"
1 Corintios,4,14,No escribo esto para avergonzaros: mas amonéstoos como a mis hijos amados. ουκ εντρεπων υμας γραφω ταυτα αλλ ως τεκνα μου αγαπητα νουθετων
1 Corintios,4,15,"Porque aunque tengáis diez mil ayos en Cristo, no tendréis muchos padres; que en Cristo Jesús yo os engendré por el evangelio. εαν γαρ μυριους παιδαγωγους εχητε εν χριστω αλλ ου πολλους πατερας εν γαρ χριστω ιησου δια του ευαγγελιου εγω υμας εγεννησα"
