Libro,Capítulo,Versículo,Texto
1 Juan,1,1,"Lo que era desde el principio, lo que hemos oído, lo que hemos visto con nuestros ojos, lo que hemos mirado, y palparon nuestras manos tocante al Verbo de vida; ο ην απ αρχης ο ακηκοαμεν ο εωρακαμεν τοις οφθαλμοις ημων ο εθεασαμεθα και αι χειρες ημων εψηλαφησαν περι του λογου της ζωης"
1 Juan,1,2,"(Porque la vida fué manifestada, y vimos, y testificamos, y os anunciamos aquella vida eterna, la cual estaba con el Padre, y nos ha aparecido) και η ζωη εφανερωθη και εωρακαμεν και μαρτυρουμεν και απαγγελλομεν υμιν την ζωην την αιωνιον ητις ην προς τον πατερα και εφανερωθη ημιν"
1 Juan,1,3,"lo que hemos visto y oído, eso os anunciamos, para que también vosotros tengáis comunión con nosotros: y nuestra comunión verdaderamente es con el Padre, y con su Hijo Jesucristo. ο εωρακαμεν και ακηκοαμεν απαγγελλομεν και υμιν ινα και υμεις κοινωνιαν εχητε μεθ ημων και η κοινωνια δε η ημετερα μετα του πατρος και μετα του υιου αυτου ιησου χριστου"
1 Juan,1,4,"Y estas cosas os escribimos, para que vuestro gozo sea cumplido. και ταυτα γραφομεν ημεις ινα η χαρα ημων η πεπληρωμενη"
1 Juan,1,5,"Y este es el mensaje que oímos de él, y os anunciamos: Que Dios es luz, y en él no hay ningunas tinieblas. και εστιν αυτη η αγγελια ην ακηκοαμεν απ αυτου και αναγγελλομεν υμιν οτι ο θεος φως εστιν και σκοτια ουκ εστιν εν αυτω ουδεμια"
1 Juan,1,6,"Si nosotros dijéremos que tenemos comunión con él, y andamos en tinieblas, mentimos, y no hacemos la verdad; εαν ειπωμεν οτι κοινωνιαν εχομεν μετ αυτου και εν τω σκοτει περιπατωμεν ψευδομεθα και ου ποιουμεν την αληθειαν"
1 Juan,1,7,"mas si andamos en luz, como él está en luz, tenemos comunión entre nosotros, y la sangre de Jesucristo su Hijo nos limpia de todo pecado. εαν δε εν τω φωτι περιπατωμεν ως αυτος εστιν εν τω φωτι κοινωνιαν εχομεν μετ αλληλων και το αιμα ιησου του υιου αυτου καθαριζει ημας απο πασης αμαρτιας"
1 Juan,1,8,"Si dijéremos que no tenemos pecado, nos engañamos a nosotros mismos, y no hay verdad en nosotros. εαν ειπωμεν οτι αμαρτιαν ουκ εχομεν εαυτους πλανωμεν και η αληθεια ουκ εστιν εν ημιν"
1 Juan,1,9,"Si confesamos nuestros pecados, él es fiel y justo para que nos perdone nuestros pecados, y nos limpie de toda maldad. εαν ομολογωμεν τας αμαρτιας ημων πιστος εστιν και δικαιος ινα αφη ημιν τας αμαρτιας και καθαριση ημας απο πασης αδικιας"
1 Juan,1,10,"Si dijéremos que no hemos pecado, lo hacemos a él mentiroso, y su palabra no está en nosotros. εαν ειπωμεν οτι ουχ ημαρτηκαμεν ψευστην ποιουμεν αυτον και ο λογος αυτου ουκ εστιν εν ημιν"
1 Juan,2,1,"Hijitos míos, estas cosas os escribo, para que no pequéis; y si alguno hubiere pecado, abogado tenemos para con el Padre, a Jesucristo el justo; τεκνια μου ταυτα γραφω υμιν ινα μη αμαρτητε και εαν τις αμαρτη παρακλητον εχομεν προς τον πατερα ιησουν χριστον δικαιον"
1 Juan,2,2,"y él es la propiciación por nuestros pecados: y no solamente por los nuestros, sino también por los de todo el mundo. και αυτος ιλασμος εστιν περι των αμαρτιων ημων ου περι των ημετερων δε μονον αλλα και περι ολου του κοσμου"
1 Juan,2,3,"Y en esto sabemos que nosotros le hemos conocido, si guardamos sus mandamientos. και εν τουτω γινωσκομεν οτι εγνωκαμεν αυτον εαν τας εντολας αυτου τηρωμεν"
1 Juan,2,4,"El que dice, Yo le he conocido, y no guarda sus mandamientos, el tal es mentiroso, y no hay verdad en él; ο λεγων οτι εγνωκα αυτον και τας εντολας αυτου μη τηρων ψευστης εστιν και εν τουτω η αληθεια ουκ εστιν"
1 Juan,2,5,"mas el que guarda su palabra, la caridad de Dios está verdaderamente perfecta en él: por esto sabemos que estamos en él. ος δ αν τηρη αυτου τον λογον αληθως εν τουτω η αγαπη του θεου τετελειωται εν τουτω γινωσκομεν οτι εν αυτω εσμεν"
1 Juan,2,6,"El que dice que está en él, debe andar como él anduvo. ο λεγων εν αυτω μενειν οφειλει καθως εκεινος περιεπατησεν και αυτος περιπατειν"
1 Juan,2,7,"Hermanos, no os escribo mandamiento nuevo, sino el mandamiento antiguo que habéis tenido desde el principio: el mandamiento antiguo es la palabra que habéis oído desde el principio. αγαπητοι ουκ εντολην καινην γραφω υμιν αλλ εντολην παλαιαν ην ειχετε απ αρχης η εντολη η παλαια εστιν ο λογος ον ηκουσατε"
1 Juan,2,8,"Otra vez os escribo un mandamiento nuevo, que es verdadero en él y en vosotros; porque las tinieblas son pasadas, y la verdadera luz ya alumbra. παλιν εντολην καινην γραφω υμιν ο εστιν αληθες εν αυτω και εν υμιν οτι η σκοτια παραγεται και το φως το αληθινον ηδη φαινει"
1 Juan,2,9,"El que dice que está en luz, y aborrece a su hermano, el tal aun está en tinieblas todavía. ο λεγων εν τω φωτι ειναι και τον αδελφον αυτου μισων εν τη σκοτια εστιν εως αρτι"
1 Juan,2,10,"El que ama a su hermano, está en luz, y no hay tropiezo en él. ο αγαπων τον αδελφον αυτου εν τω φωτι μενει και σκανδαλον εν αυτω ουκ εστιν"
1 Juan,2,11,"Mas el que aborrece a su hermano, está en tinieblas, y anda en tinieblas, y no sabe a donde va; porque las tinieblas le han cegado los ojos. ο δε μισων τον αδελφον αυτου εν τη σκοτια εστιν και εν τη σκοτια περιπατει και ουκ οιδεν που υπαγει οτι η σκοτια ετυφλωσεν τους οφθαλμους αυτου"
1 Juan,2,12,"Os escribo a vosotros, hijitos, porque vuestros pecados os son perdonados por su nombre. γραφω υμιν τεκνια οτι αφεωνται υμιν αι αμαρτιαι δια το ονομα αυτου"
1 Juan,2,13,"Os escribo a vosotros, padres, porque habéis conocido a aquel que es desde el principio. Os escribo a vosotros, mancebos, porque habéis vencido al maligno. Os escribo a vosotros, hijitos, porque habéis conocido al Padre. γραφω υμιν πατερες οτι εγνωκατε τον απ αρχης γραφω υμιν νεανισκοι οτι νενικηκατε τον πονηρον εγραψα υμιν παιδια οτι εγνωκατε τον πατερα"
1 Juan,2,14,"Os he escrito a vosotros, padres, porque habéis conocido al que es desde el principio. Os he escrito a vosotros, mancebos, porque sois fuertes, y la palabra de Dios mora en vosotros, y habéis vencido al maligno. εγραψα υμιν πατερες οτι εγνωκατε τον απ αρχης εγραψα υμιν νεανισκοι οτι ισχυροι εστε και ο λογος [του θεου] εν υμιν μενει και νενικηκατε τον πονηρον"
1 Juan,2,15,"No améis al mundo, ni las cosas que están en el mundo. Si alguno ama al mundo, el amor del Padre no está en él. μη αγαπατε τον κοσμον μηδε τα εν τω κοσμω εαν τις αγαπα τον κοσμον ουκ εστιν η αγαπη του πατρος εν αυτω"
1 Juan,2,16,"Porque todo lo que hay en el mundo, la concupiscencia de la carne, y la concupiscencia de los ojos, y la soberbia de la vida, no es del Padre, mas es del mundo. οτι παν το εν τω κοσμω η επιθυμια της σαρκος και η επιθυμια των οφθαλμων και η αλαζονεια του βιου ουκ εστιν εκ του πατρος αλλ εκ του κοσμου εστιν"
1 Juan,2,17,"Y el mundo se pasa, y su concupiscencia; mas el que hace la voluntad de Dios, permanece para siempre. και ο κοσμος παραγεται και η επιθυμια [αυτου] ο δε ποιων το θελημα του θεου μενει εις τον αιωνα"
1 Juan,2,18,"Hijitos, ya es el último tiempo: y como vosotros habéis oído que el anticristo ha de venir, así también al presente han comenzado a ser muchos anticristos; por lo cual sabemos que es el último tiempo. παιδια εσχατη ωρα εστιν και καθως ηκουσατε οτι αντιχριστος ερχεται και νυν αντιχριστοι πολλοι γεγονασιν οθεν γινωσκομεν οτι εσχατη ωρα εστιν"
1 Juan,2,19,"Salieron de nosotros, mas no eran de nosotros; porque si fueran de nosotros, hubieran cierto permanecido con nosotros; pero salieron para que se manifestase que todos no son de nosotros. εξ ημων εξηλθαν αλλ ουκ ησαν εξ ημων ει γαρ εξ ημων ησαν μεμενηκεισαν αν μεθ ημων αλλ ινα φανερωθωσιν οτι ουκ εισιν παντες εξ ημων"
1 Juan,2,20,"Mas vosotros tenéis la unción del Santo, y conocéis todas las cosas. και υμεις χρισμα εχετε απο του αγιου οιδατε παντες"
1 Juan,2,21,"No os he escrito como si ignoraseis la verdad, sino como a los que la conocéis, y que ninguna mentira es de la verdad. ουκ εγραψα υμιν οτι ουκ οιδατε την αληθειαν αλλ οτι οιδατε αυτην και οτι παν ψευδος εκ της αληθειας ουκ εστιν"
1 Juan,2,22,"¿Quién es mentiroso, sino el que niega que Jesús es el Cristo? Este tal es anticristo, que niega al Padre y al Hijo. τις εστιν ο ψευστης ει μη ο αρνουμενος οτι ιησους ουκ εστιν ο χριστος ουτος εστιν ο αντιχριστος ο αρνουμενος τον πατερα και τον υιον"
1 Juan,2,23,"Cualquiera que niega al Hijo, este tal tampoco tiene al Padre. Cualquiera que confiese al Hijo tiene también al Padre. πας ο αρνουμενος τον υιον ουδε τον πατερα εχει ο ομολογων τον υιον και τον πατερα εχει"
1 Juan,2,24,"Pues lo que habéis oído desde el principio, sea permaneciente en vosotros. Si lo que habéis oído desde el principio fuere permaneciente en vosotros, también vosotros permaneceréis en el Hijo y en el Padre. υμεις ο ηκουσατε απ αρχης εν υμιν μενετω εαν εν υμιν μεινη ο απ αρχης ηκουσατε και υμεις εν τω υιω και [εν] τω πατρι μενειτε"
1 Juan,2,25,"Y esta es la promesa, la cual él nos prometió, la vida eterna. και αυτη εστιν η επαγγελια ην αυτος επηγγειλατο ημιν την ζωην την αιωνιον"
1 Juan,2,26,Os he escrito esto sobre los que os engañan. ταυτα εγραψα υμιν περι των πλανωντων υμας
1 Juan,2,27,"Pero la unción que vosotros habéis recibido de él, mora en vosotros, y no tenéis necesidad que ninguno os enseñe; mas como la unción misma os enseña de todas cosas, y es verdadera, y no es mentira, así como os ha enseñado, perseveraréis en él. και υμεις το χρισμα ο ελαβετε απ αυτου μενει εν υμιν και ου χρειαν εχετε ινα τις διδασκη υμας αλλ ως το αυτου χρισμα διδασκει υμας περι παντων και αληθες εστιν και ουκ εστιν ψευδος και καθως εδιδαξεν υμας μενετε εν αυτω"
1 Juan,2,28,"Y ahora, hijitos, perseverad en él; para que cuando apareciere, tengamos confianza, y no seamos confundidos de él en su venida. και νυν τεκνια μενετε εν αυτω ινα εαν φανερωθη σχωμεν παρρησιαν και μη αισχυνθωμεν απ αυτου εν τη παρουσια αυτου"
1 Juan,2,29,"Si sabéis que él es justo, sabed también que cualquiera que hace justicia, es nacido de él. εαν ειδητε οτι δικαιος εστιν γινωσκετε οτι πας ο ποιων την δικαιοσυνην εξ αυτου γεγεννηται"
1 Juan,3,1,"Mirad cuál amor nos ha dado el Padre, que seamos llamados hijos de Dios: por esto el mundo no nos conoce, porque no le conoce a él. ιδετε ποταπην αγαπην δεδωκεν ημιν ο πατηρ ινα τεκνα θεου κληθωμεν και εσμεν δια τουτο ο κοσμος ου γινωσκει ημας οτι ουκ εγνω αυτον"
1 Juan,3,2,"Muy amados, ahora somos hijos de Dios, y aun no se ha manifestado lo que hemos de ser; pero sabemos que cuando él apareciere, seremos semejantes a él, porque le veremos como él es. αγαπητοι νυν τεκνα θεου εσμεν και ουπω εφανερωθη τι εσομεθα οιδαμεν οτι εαν φανερωθη ομοιοι αυτω εσομεθα οτι οψομεθα αυτον καθως εστιν"
1 Juan,3,3,"Y cualquiera que tiene esta esperanza en él, se purifica, como él también es limpio. και πας ο εχων την ελπιδα ταυτην επ αυτω αγνιζει εαυτον καθως εκεινος αγνος εστιν"
1 Juan,3,4,"Cualquiera que hace pecado, traspasa también la ley; pues el pecado es transgresión de la ley. πας ο ποιων την αμαρτιαν και την ανομιαν ποιει και η αμαρτια εστιν η ανομια"
1 Juan,3,5,"Y sabéis que él apareció para quitar nuestros pecados, y no hay pecado en él. και οιδατε οτι εκεινος εφανερωθη ινα τας αμαρτιας αρη και αμαρτια εν αυτω ουκ εστιν"
1 Juan,3,6,"Cualquiera que permanece en él, no peca; cualquiera que peca, no le ha visto, ni le ha conocido. πας ο εν αυτω μενων ουχ αμαρτανει πας ο αμαρτανων ουχ εωρακεν αυτον ουδε εγνωκεν αυτον"
1 Juan,3,7,"Hijitos, no os engañe ninguno: el que hace justicia, es justo, como él también es justo. τεκνια μηδεις πλανατω υμας ο ποιων την δικαιοσυνην δικαιος εστιν καθως εκεινος δικαιος εστιν"
1 Juan,3,8,"El que hace pecado, es del diablo; porque el diablo peca desde el principio. Para esto apareció el Hijo de Dios, para deshacer las obras del diablo. ο ποιων την αμαρτιαν εκ του διαβολου εστιν οτι απ αρχης ο διαβολος αμαρτανει εις τουτο εφανερωθη ο υιος του θεου ινα λυση τα εργα του διαβολου"
1 Juan,3,9,"Cualquiera que es nacido de Dios, no hace pecado, porque su simiente está en él; y no puede pecar, porque es nacido de Dios. πας ο γεγεννημενος εκ του θεου αμαρτιαν ου ποιει οτι σπερμα αυτου εν αυτω μενει και ου δυναται αμαρτανειν οτι εκ του θεου γεγεννηται"
