Libro,Capítulo,Versículo,Texto
1 Pedro,1,1,"Pedro, apóstol de Jesucristo, a los extranjeros esparcidos en Ponto, en Galacia, en Capadocia, en Asia, y en Bithinia, πετρος αποστολος ιησου χριστου εκλεκτοις παρεπιδημοις διασπορας ποντου γαλατιας καππαδοκιας ασιας και βιθυνιας"
1 Pedro,1,2,"elegidos según la presciencia de Dios Padre en santificación del Espíritu, para obedecer y ser rociados con la sangre de Jesucristo: Gracia y paz os sea multiplicada. κατα προγνωσιν θεου πατρος εν αγιασμω πνευματος εις υπακοην και ραντισμον αιματος ιησου χριστου χαρις υμιν και ειρηνη πληθυνθειη"
1 Pedro,1,3,"Bendito el Dios y Padre de nuestro Señor Jesucristo, que según su grande misericordia nos ha regenerado en esperanza viva, por la resurrección de Jesucristo de los muertos, ευλογητος ο θεος και πατηρ του κυριου ημων ιησου χριστου ο κατα το πολυ αυτου ελεος αναγεννησας ημας εις ελπιδα ζωσαν δι αναστασεως ιησου χριστου εκ νεκρων"
1 Pedro,1,4,"para una herencia incorruptible, y que no puede contaminarse, ni marchitarse, reservada en los cielos εις κληρονομιαν αφθαρτον και αμιαντον και αμαραντον τετηρημενην εν ουρανοις εις υμας"
1 Pedro,1,5,"para nosotros que somos guardados en la virtud de Dios por fe, para alcanzar la salud que está aparejada para ser manifestada en el postrimero tiempo. τους εν δυναμει θεου φρουρουμενους δια πιστεως εις σωτηριαν ετοιμην αποκαλυφθηναι εν καιρω εσχατω"
1 Pedro,1,6,"En lo cual vosotros os alegráis, estando al presente un poco de tiempo afligidos en diversas tentaciones, si es necesario, εν ω αγαλλιασθε ολιγον αρτι ει δεον λυπηθεντες εν ποικιλοις πειρασμοις"
1 Pedro,1,7,"para que la prueba de vuestra fe, mucho más preciosa que el oro, el cual perece, bien que sea probado con fuego, sea hallada en alabanza, gloria y honra, cuando Jesucristo fuera manifestado: ινα το δοκιμιον υμων της πιστεως πολυτιμοτερον χρυσιου του απολλυμενου δια πυρος δε δοκιμαζομενου ευρεθη εις επαινον και δοξαν και τιμην εν αποκαλυψει ιησου χριστου"
1 Pedro,1,8,"Al cual, no habiendo visto, le amáis; en el cual creyendo, aunque al presente no lo veáis, os alegráis con gozo inefable y glorificado; ον ουκ ιδοντες αγαπατε εις ον αρτι μη ορωντες πιστευοντες δε αγαλλιατε χαρα ανεκλαλητω και δεδοξασμενη"
1 Pedro,1,9,"obteniendo el fin de vuestra fe, que es la salud de vuestras almas. κομιζομενοι το τελος της πιστεως σωτηριαν ψυχων"
1 Pedro,1,10,"De la cual salud los profetas que profetizaron de la gracia que había de venir a vosotros, han inquirido y diligentemente buscado, περι ης σωτηριας εξεζητησαν και εξηραυνησαν προφηται οι περι της εις υμας χαριτος προφητευσαντες"
1 Pedro,1,11,"escudriñando cuándo y en qué punto de tiempo significaba el Espíritu de Cristo que estaba en ellos, el cual prenunciaba las aflicciones que habían de venir a Cristo, y las glorias después de ellas. εραυνωντες εις τινα η ποιον καιρον εδηλου το εν αυτοις πνευμα χριστου προμαρτυρομενον τα εις χριστον παθηματα και τας μετα ταυτα δοξας"
