Libro,Capítulo,Versículo,Texto
1 Tesalonicenses,1,1,"Pablo, y Silvano, y Timoteo, a la iglesia de los Tesalonicenses que es en Dios Padre y en el Señor Jesucristo: Gracia y paz a vosotros de Dios nuestro Padre y del Señor Jesucristo. παυλος και σιλουανος και τιμοθεος τη εκκλησια θεσσαλονικεων εν θεω πατρι και κυριω ιησου χριστω χαρις υμιν και ειρηνη"
1 Tesalonicenses,1,2,"Damos siempre gracias a Dios por todos vosotros, haciendo memoria de vosotros en nuestras oraciones; ευχαριστουμεν τω θεω παντοτε περι παντων υμων μνειαν ποιουμενοι επι των προσευχων ημων"
1 Tesalonicenses,1,3,"sin cesar acordándonos delante del Dios y Padre nuestro de la obra de vuestra fe, y del trabajo de amor, y de la tolerancia de la esperanza del Señor nuestro Jesucristo: αδιαλειπτως μνημονευοντες υμων του εργου της πιστεως και του κοπου της αγαπης και της υπομονης της ελπιδος του κυριου ημων ιησου χριστου εμπροσθεν του θεου και πατρος ημων"
1 Tesalonicenses,1,4,"Sabiendo, hermanos amados de Dios, vuestra elección: ειδοτες αδελφοι ηγαπημενοι υπο [του] θεου την εκλογην υμων"
1 Tesalonicenses,1,5,"Por cuanto nuestro evangelio no fué a vosotros en palabra solamente, mas también en potencia, y en Espíritu Santo, y en gran plenitud; como sabéis cuáles fuimos entre vosotros por amor de vosotros. οτι το ευαγγελιον ημων ουκ εγενηθη εις υμας εν λογω μονον αλλα και εν δυναμει και εν πνευματι αγιω και πληροφορια πολλη καθως οιδατε οιοι εγενηθημεν υμιν δι υμας"
1 Tesalonicenses,1,6,"Y vosotros fuisteis hechos imitadores de nosotros, y del Señor, recibiendo la palabra con mucha tribulación, con gozo del Espíritu Santo: και υμεις μιμηται ημων εγενηθητε και του κυριου δεξαμενοι τον λογον εν θλιψει πολλη μετα χαρας πνευματος αγιου"
1 Tesalonicenses,1,7,En tal manera que habéis sido ejemplo a todos los que han creído en Macedonia y en Acaya. ωστε γενεσθαι υμας τυπον πασιν τοις πιστευουσιν εν τη μακεδονια και εν τη αχαια
1 Tesalonicenses,1,8,"Porque de vosotros ha sido divulgada la palabra del Señor no sólo en Macedonia y en Acaya, mas aun en todo lugar vuestra fe en Dios se ha extendido; de modo que no tenemos necesidad de hablar nada. αφ υμων γαρ εξηχηται ο λογος του κυριου ου μονον εν τη μακεδονια και αχαια αλλ εν παντι τοπω η πιστις υμων η προς τον θεον εξεληλυθεν ωστε μη χρειαν εχειν ημας λαλειν τι"
1 Tesalonicenses,1,9,"Porque ellos cuentan de nosotros cuál entrada tuvimos a vosotros; y cómo os convertisteis de los ídolos a Dios, para servir al Dios vivo y verdadero. αυτοι γαρ περι ημων απαγγελλουσιν οποιαν εισοδον εσχομεν προς υμας και πως επεστρεψατε προς τον θεον απο των ειδωλων δουλευειν θεω ζωντι και αληθινω"
1 Tesalonicenses,1,10,"Y esperar a su Hijo de los cielos, al cual resucitó de los muertos; a Jesús, el cual nos libró de la ira que ha de venir. και αναμενειν τον υιον αυτου εκ των ουρανων ον ηγειρεν εκ [των] νεκρων ιησουν τον ρυομενον ημας εκ της οργης της ερχομενης"
1 Tesalonicenses,2,1,"Porque, hermanos, vosotros mismos sabéis que nuestra entrada a vosotros no fué vana: αυτοι γαρ οιδατε αδελφοι την εισοδον ημων την προς υμας οτι ου κενη γεγονεν"
1 Tesalonicenses,2,2,"Pues aun habiendo padecido antes, y sido afrentados en Filipos, como sabéis, tuvimos denuedo en Dios nuestro para anunciaros el evangelio de Dios con gran combate. αλλα προπαθοντες και υβρισθεντες καθως οιδατε εν φιλιπποις επαρρησιασαμεθα εν τω θεω ημων λαλησαι προς υμας το ευαγγελιον του θεου εν πολλω αγωνι"
1 Tesalonicenses,2,3,"Porque nuestra exhortación no fué de error, ni de inmundicia, ni por engaño; η γαρ παρακλησις ημων ουκ εκ πλανης ουδε εξ ακαθαρσιας ουδε εν δολω"
1 Tesalonicenses,2,4,"sino según fuimos aprobados de Dios para que se nos encargase el evangelio, así hablamos; no como los que agradan a los hombres, sino a Dios, el cual prueba nuestros corazones. αλλα καθως δεδοκιμασμεθα υπο του θεου πιστευθηναι το ευαγγελιον ουτως λαλουμεν ουχ ως ανθρωποις αρεσκοντες αλλα θεω τω δοκιμαζοντι τας καρδιας ημων"
1 Tesalonicenses,2,5,"Porque nunca fuimos lisonjeros en la palabra, como sabéis, ni tocados de avaricia; Dios es testigo; ουτε γαρ ποτε εν λογω κολακειας εγενηθημεν καθως οιδατε ουτε προφασει πλεονεξιας θεος μαρτυς"
1 Tesalonicenses,2,6,"ni buscamos de los hombres gloria, ni de vosotros, ni de otros, aunque podíamos seros carga como apóstoles de Cristo. ουτε ζητουντες εξ ανθρωπων δοξαν ουτε αφ υμων ουτε απ αλλων ["
1 Tesalonicenses,2,7,"Antes fuimos blandos entre vosotros como la que cría, que regala a sus hijos: αλλα εγενηθημεν νηπιοι εν μεσω υμων ως εαν τροφος θαλπη τα εαυτης τεκνα"
1 Tesalonicenses,2,8,"Tan amadores de vosotros, que quisiéramos entregaros no sólo el evangelio de Dios, mas aun nuestras propias almas; porque nos erais carísimos. ουτως ομειρομενοι υμων ευδοκουμεν μεταδουναι υμιν ου μονον το ευαγγελιον του θεου αλλα και τας εαυτων ψυχας διοτι αγαπητοι ημιν εγενηθητε"
