Libro,Capítulo,Versículo,Texto
1 Timoteo,1,1,"Pablo, apóstol de Jesucristo por la ordenación de Dios nuestro Salvador, y del Señor Jesucristo, nuestra esperanza; παυλος αποστολος χριστου ιησου κατ επιταγην θεου σωτηρος ημων και χριστου ιησου της ελπιδος ημων"
1 Timoteo,1,2,"a Timoteo, verdadero hijo en la fe: Gracia, misericordia y paz de Dios nuestro Padre, y de Cristo Jesús nuestro Señor. τιμοθεω γνησιω τεκνω εν πιστει χαρις ελεος ειρηνη απο θεου πατρος και χριστου ιησου του κυριου ημων"
1 Timoteo,1,3,"Como te rogué que te quedases en Efeso, cuando partí para Macedonia, para que requirieses a algunos que no enseñen diversa doctrina, καθως παρεκαλεσα σε προσμειναι εν εφεσω πορευομενος εις μακεδονιαν ινα παραγγειλης τισιν μη ετεροδιδασκαλειν"
1 Timoteo,1,4,"ni presten atención a fábulas y genealogías sin término, que antes engendran cuestiones que la edificación de Dios que es por fe; así te encargo ahora. μηδε προσεχειν μυθοις και γενεαλογιαις απεραντοις αιτινες εκζητησεις παρεχουσιν μαλλον η οικονομιαν θεου την εν πιστει"
1 Timoteo,1,5,"Pues el fin del mandamiento es la caridad nacida de corazón limpio, y de buena conciencia, y de fe no fingida: το δε τελος της παραγγελιας εστιν αγαπη εκ καθαρας καρδιας και συνειδησεως αγαθης και πιστεως ανυποκριτου"
1 Timoteo,1,6,"De lo cual distrayéndose algunos, se apartaron a vanas pláticas; ων τινες αστοχησαντες εξετραπησαν εις ματαιολογιαν"
1 Timoteo,1,7,"queriendo ser doctores de la ley, sin entender ni lo que hablan, ni lo que afirman. θελοντες ειναι νομοδιδασκαλοι μη νοουντες μητε α λεγουσιν μητε περι τινων διαβεβαιουνται"
1 Timoteo,1,8,"Sabemos empero que la ley es buena, si alguno usa de ella legítimamente; οιδαμεν δε οτι καλος ο νομος εαν τις αυτω νομιμως χρηται"
1 Timoteo,1,9,"conociendo esto, que la ley no es puesta para el justo, sino para los injustos y para los desobedientes, para los impíos y pecadores, para los malos y profanos, para los parricidas y matricidas, para los homicidas, ειδως τουτο οτι δικαιω νομος ου κειται ανομοις δε και ανυποτακτοις ασεβεσιν και αμαρτωλοις ανοσιοις και βεβηλοις πατρολωαις και μητρολωαις ανδροφονοις"
1 Timoteo,1,10,"para los fornicarios, para los sodomitas, para los ladrones de hombres, para los mentirosos y ladrones de hombres, para los mentirosos y perjuros, y si hay alguna otra cosa contraria a la sana doctrina; πορνοις αρσενοκοιταις ανδραποδισταις ψευσταις επιορκοις και ει τι ετερον τη υγιαινουση διδασκαλια αντικειται"
1 Timoteo,1,11,"según el evangelio de la gloria del Dios bendito, el cual a mí me ha sido encargado. κατα το ευαγγελιον της δοξης του μακαριου θεου ο επιστευθην εγω"
1 Timoteo,1,12,"Y doy gracias al que me fortificó, a Cristo Jesús nuestro Señor, de que me tuvo por fiel, poniéndome en el ministerio: χαριν εχω τω ενδυναμωσαντι με χριστω ιησου τω κυριω ημων οτι πιστον με ηγησατο θεμενος εις διακονιαν"
1 Timoteo,1,13,"Habiendo sido antes blasfemo y perseguidor e injuriador: mas fuí recibido a misericordia, porque lo hice con ignorancia en incredulidad. το προτερον οντα βλασφημον και διωκτην και υβριστην αλλα ηλεηθην οτι αγνοων εποιησα εν απιστια"
1 Timoteo,1,14,Mas la gracia de nuestro Señor fué más abundante con la fe y amor que es en Cristo Jesús. υπερεπλεονασεν δε η χαρις του κυριου ημων μετα πιστεως και αγαπης της εν χριστω ιησου
1 Timoteo,1,15,"Palabra fiel y digna de ser recibida de todos: que Cristo Jesús vino al mundo para salvar a los pecadores, de los cuales yo soy el primero. πιστος ο λογος και πασης αποδοχης αξιος οτι χριστος ιησους ηλθεν εις τον κοσμον αμαρτωλους σωσαι ων πρωτος ειμι εγω"
1 Timoteo,1,16,"Mas por esto fuí recibido a misericordia, para que Jesucristo mostrase en mí el primero toda su clemencia, para ejemplo de los que habían de creer en él para vida eterna. αλλα δια τουτο ηλεηθην ινα εν εμοι πρωτω ενδειξηται χριστος ιησους την απασαν μακροθυμιαν προς υποτυπωσιν των μελλοντων πιστευειν επ αυτω εις ζωην αιωνιον"
1 Timoteo,1,17,"Por tanto, al Rey de siglos, inmortal, invisible, al solo sabio Dios sea honor y gloria por los siglos de los siglos. Amén. τω δε βασιλει των αιωνων αφθαρτω αορατω μονω θεω τιμη και δοξα εις τους αιωνας των αιωνων αμην"
1 Timoteo,1,18,"Este mandamiento, hijo Timoteo, te encargo, para que, conforme a las profecías pasadas de ti, milites por ellas buena milicia; ταυτην την παραγγελιαν παρατιθεμαι σοι τεκνον τιμοθεε κατα τας προαγουσας επι σε προφητειας ινα στρατευη εν αυταις την καλην στρατειαν"
1 Timoteo,1,19,"manteniendo la fe y buena conciencia, la cual echando de sí algunos, hicieron naufragio en la fe: εχων πιστιν και αγαθην συνειδησιν ην τινες απωσαμενοι περι την πιστιν εναυαγησαν"
1 Timoteo,1,20,"De los cuales son Himeneo y Alejandro, los cuales entregué a Satanás, para que aprendan a no blasfemar. ων εστιν υμεναιος και αλεξανδρος ους παρεδωκα τω σατανα ινα παιδευθωσιν μη βλασφημειν"
1 Timoteo,2,1,"Amonesto pues, ante todas cosas, que se hagan rogativas, oraciones, peticiones, hacimientos de gracias, por todos los hombres; παρακαλω ουν πρωτον παντων ποιεισθαι δεησεις προσευχας εντευξεις ευχαριστιας υπερ παντων ανθρωπων"
1 Timoteo,2,2,"por los reyes y por todos los que están en eminencia, para que vivamos quieta y reposadamente en toda piedad y honestidad. υπερ βασιλεων και παντων των εν υπεροχη οντων ινα ηρεμον και ησυχιον βιον διαγωμεν εν παση ευσεβεια και σεμνοτητι"
1 Timoteo,2,3,Porque esto es bueno y agradable delante de Dios nuestro Salvador; τουτο καλον και αποδεκτον ενωπιον του σωτηρος ημων θεου
1 Timoteo,2,4,"el cual quiere que todos los hombres sean salvos, y que vengan al conocimiento de la verdad. ος παντας ανθρωπους θελει σωθηναι και εις επιγνωσιν αληθειας ελθειν"
1 Timoteo,2,5,"Porque hay un Dios, asimismo un mediador entre Dios y los hombres, Jesucristo hombre; εις γαρ θεος εις και μεσιτης θεου και ανθρωπων ανθρωπος χριστος ιησους"
1 Timoteo,2,6,"el cual se dió a sí mismo en precio del rescate por todos, para testimonio en sus tiempos: ο δους εαυτον αντιλυτρον υπερ παντων το μαρτυριον καιροις ιδιοις"
1 Timoteo,2,7,"De lo que yo soy puesto por predicador y apóstol, (digo verdad en Cristo, no miento) doctor de los Gentiles en fidelidad y verdad. εις ο ετεθην εγω κηρυξ και αποστολος αληθειαν λεγω ου ψευδομαι διδασκαλος εθνων εν πιστει και αληθεια"
1 Timoteo,2,8,"Quiero, pues, que los hombres oren en todo lugar, levantando manos limpias, sin ira ni contienda. βουλομαι ουν προσευχεσθαι τους ανδρας εν παντι τοπω επαιροντας οσιους χειρας χωρις οργης και διαλογισμων"
1 Timoteo,2,9,"Asimismo también las mujeres, ataviándose en hábito honesto, con vergüenza y modestia; no con cabellos encrespados, u oro, o perlas, o vestidos costosos. ωσαυτως γυναικας εν καταστολη κοσμιω μετα αιδους και σωφροσυνης κοσμειν εαυτας μη εν πλεγμασιν και χρυσιω η μαργαριταις η ιματισμω πολυτελει"
1 Timoteo,2,10,"Sino de buenas obras, como conviene a mujeres que profesan piedad. αλλ ο πρεπει γυναιξιν επαγγελλομεναις θεοσεβειαν δι εργων αγαθων"
1 Timoteo,2,11,"La mujer aprenda en silencio, con toda sujeción. γυνη εν ησυχια μανθανετω εν παση υποταγη"
1 Timoteo,2,12,"Porque no permito a la mujer enseñar, ni tomar autoridad sobre el hombre, sino estar en silencio. διδασκειν δε γυναικι ουκ επιτρεπω ουδε αυθεντειν ανδρος αλλ ειναι εν ησυχια"
1 Timoteo,2,13,"Porque Adam fué formado el primero, después Eva; αδαμ γαρ πρωτος επλασθη ειτα ευα"
