Libro,Capítulo,Versículo,Texto
Romanos,1,1,"Pablo, siervo de Jesucristo, llamado a ser apóstol, apartado para el evangelio de Dios, παυλος δουλος ιησου χριστου κλητος αποστολος αφωρισμενος εις ευαγγελιον θεου"
Romanos,1,2,"Que él había antes prometido por sus profetas en las santas Escrituras, ο προεπηγγειλατο δια των προφητων αυτου εν γραφαις αγιαις"
Romanos,1,3,"Acerca de su Hijo, (que fué hecho de la simiente de David según la carne; περι του υιου αυτου του γενομενου εκ σπερματος δαυιδ κατα σαρκα"
Romanos,1,4,"El cual fué declarado Hijo de Dios con potencia, según el espíritu de santidad, por la resurrección de los muertos), de Jesucristo Señor nuestro, του ορισθεντος υιου θεου εν δυναμει κατα πνευμα αγιωσυνης εξ αναστασεως νεκρων ιησου χριστου του κυριου ημων"
Romanos,1,5,"Por el cual recibimos la gracia y el apostolado, para la obediencia de la fe en todas las naciones en su nombre, δι ου ελαβομεν χαριν και αποστολην εις υπακοην πιστεως εν πασιν τοις εθνεσιν υπερ του ονοματος αυτου"
Romanos,1,6,"Entre las cuales sois también vosotros, llamados de Jesucristo: εν οις εστε και υμεις κλητοι ιησου χριστου"
Romanos,1,7,"A todos los que estáis en Roma, amados de Dios, llamados santos: Gracia y paz tengáis de Dios nuestro Padre, y del Señor Jesucristo. πασιν τοις ουσιν εν ρωμη αγαπητοις θεου κλητοις αγιοις χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου"
Romanos,1,8,"Primeramente, doy gracias a mi Dios por Jesucristo acerca de todos vosotros, de que vuestra fe es predicada en todo el mundo. πρωτον μεν ευχαριστω τω θεω μου δια ιησου χριστου περι παντων υμων οτι η πιστις υμων καταγγελλεται εν ολω τω κοσμω"
Romanos,1,9,"Porque testigo me es Dios, al cual sirvo en mi espíritu en el evangelio de su Hijo, que sin cesar me acuerdo de vosotros siempre en mis oraciones, μαρτυς γαρ μου εστιν ο θεος ω λατρευω εν τω πνευματι μου εν τω ευαγγελιω του υιου αυτου ως αδιαλειπτως μνειαν υμων ποιουμαι"
Romanos,1,10,"rogando, si al fin algún tiempo haya de tener, por la voluntad de Dios, próspero viaje para ir a vosotros. παντοτε επι των προσευχων μου δεομενος ει πως ηδη ποτε ευοδωθησομαι εν τω θεληματι του θεου ελθειν προς υμας"
Romanos,1,11,"Porque os deseo ver, para repartir con vosotros algún don espiritual, para confirmaros; επιποθω γαρ ιδειν υμας ινα τι μεταδω χαρισμα υμιν πνευματικον εις το στηριχθηναι υμας"
Romanos,1,12,"Es a saber, para ser juntamente consolado con vosotros por la común fe vuestra y juntamente mía. τουτο δε εστιν συμπαρακληθηναι εν υμιν δια της εν αλληλοις πιστεως υμων τε και εμου"
Romanos,1,13,"Mas no quiero, hermanos, que ingnoréis que muchas veces me he propuesto ir a vosotros (empero hasta ahora he sido estorbado), para tener también entre vosotros algún fruto, como entre los demás Gentiles. ου θελω δε υμας αγνοειν αδελφοι οτι πολλακις προεθεμην ελθειν προς υμας και εκωλυθην αχρι του δευρο ινα τινα καρπον σχω και εν υμιν καθως και εν τοις λοιποις εθνεσιν"
Romanos,1,14,"A Griegos y a bárbaros, a sabios y a no sabios soy deudor. ελλησιν τε και βαρβαροις σοφοις τε και ανοητοις οφειλετης ειμι"
Romanos,1,15,"Así que, cuanto a mí, presto estoy a anunciar el evangelio también a vosotros que estáis en Roma. ουτως το κατ εμε προθυμον και υμιν τοις εν ρωμη ευαγγελισασθαι"
