Libro,Capítulo,Versículo,Texto
Santiago,1,1,"Jacobo, siervo de Dios y del Señor Jesucristo, a las doce tribus que están esparcidas, salud. ιακωβος θεου και κυριου ιησου χριστου δουλος ταις δωδεκα φυλαις ταις εν τη διασπορα χαιρειν"
Santiago,1,2,"Hermanos míos, tened por sumo gozo cuando cayereis en diversas tentaciones; πασαν χαραν ηγησασθε αδελφοι μου οταν πειρασμοις περιπεσητε ποικιλοις"
Santiago,1,3,sabiendo que la prueba de vuestra fe obra paciencia. γινωσκοντες οτι το δοκιμιον υμων της πιστεως κατεργαζεται υπομονην
Santiago,1,4,"Mas tenga la paciencia perfecta su obra, para que seáis perfectos y cabales, sin faltar en alguna cosa. η δε υπομονη εργον τελειον εχετω ινα ητε τελειοι και ολοκληροι εν μηδενι λειπομενοι"
Santiago,1,5,"Y si alguno de vosotros tiene falta de sabiduría, demándela a Dios, el cual da a todos abundantemente, y no zahiere; y le será dada. ει δε τις υμων λειπεται σοφιας αιτειτω παρα του διδοντος θεου πασιν απλως και μη ονειδιζοντος και δοθησεται αυτω"
Santiago,1,6,"Pero pida en fe, no dudando nada: porque el que duda es semejante a la onda de la mar, que es movida del viento, y echada de una parte a otra. αιτειτω δε εν πιστει μηδεν διακρινομενος ο γαρ διακρινομενος εοικεν κλυδωνι θαλασσης ανεμιζομενω και ριπιζομενω"
Santiago,1,7,No piense pues el tal hombre que recibirá ninguna cosa del Señor. μη γαρ οιεσθω ο ανθρωπος εκεινος οτι λημψεται τι παρα του κυριου
Santiago,1,8,El hombre de doblado ánimo es inconstante en todos sus caminos. ανηρ διψυχος ακαταστατος εν πασαις ταις οδοις αυτου
Santiago,1,9,"El hermano que es de baja suerte, gloríese en su alteza: καυχασθω δε [ο] αδελφος ο ταπεινος εν τω υψει αυτου"
Santiago,1,10,"Mas el que es rico, en su bajeza; porque él se pasará como la flor de la hierba. ο δε πλουσιος εν τη ταπεινωσει αυτου οτι ως ανθος χορτου παρελευσεται"
Santiago,1,11,"Porque salido el sol con ardor, la hierba se secó, y su flor se cayó, y pereció su hermosa apariencia: así también se marchitará el rico en todos sus caminos. ανετειλεν γαρ ο ηλιος συν τω καυσωνι και εξηρανεν τον χορτον και το ανθος αυτου εξεπεσεν και η ευπρεπεια του προσωπου αυτου απωλετο ουτως και ο πλουσιος εν ταις πορειαις αυτου μαρανθησεται"
Santiago,1,12,"Bienaventurado el varón que sufre la tentación; porque cuando fuere probado, recibirá la corona de vida, que Dios ha prometido a los que le aman. μακαριος ανηρ ος υπομενει πειρασμον οτι δοκιμος γενομενος λημψεται τον στεφανον της ζωης ον επηγγειλατο τοις αγαπωσιν αυτον"
Santiago,1,13,"Cuando alguno es tentado, no diga que es tentado de Dios: porque Dios no puede ser tentado de los malos, ni él tienta a alguno: μηδεις πειραζομενος λεγετω οτι απο θεου πειραζομαι ο γαρ θεος απειραστος εστιν κακων πειραζει δε αυτος ουδενα"
Santiago,1,14,"Sino que cada uno es tentado, cuando de su propia concupiscencia es atraído, y cebado. εκαστος δε πειραζεται υπο της ιδιας επιθυμιας εξελκομενος και δελεαζομενος"
Santiago,1,15,"Y la concupiscencia, después que ha concebido, pare el pecado: y el pecado, siendo cumplido, engendra muerte. ειτα η επιθυμια συλλαβουσα τικτει αμαρτιαν η δε αμαρτια αποτελεσθεισα αποκυει θανατον"
Santiago,1,16,"Amados hermanos míos, no erréis. μη πλανασθε αδελφοι μου αγαπητοι"
Santiago,1,17,"Toda buena dádiva y todo don perfecto es de lo alto, que desciende del Padre de las luces, en el cual no hay mudanza, ni sombra de variación. πασα δοσις αγαθη και παν δωρημα τελειον ανωθεν εστιν καταβαινον απο του πατρος των φωτων παρ ω ουκ ενι παραλλαγη η τροπης αποσκιασμα"
Santiago,1,18,"El, de su voluntad nos ha engendrado por la palabra de verdad, para que seamos primicias de sus criaturas. βουληθεις απεκυησεν ημας λογω αληθειας εις το ειναι ημας απαρχην τινα των αυτου κτισματων"
Santiago,1,19,"Por esto, mis amados hermanos, todo hombre sea pronto para oir, tardío para hablar, tardío para airarse: ιστε αδελφοι μου αγαπητοι εστω δε πας ανθρωπος ταχυς εις το ακουσαι βραδυς εις το λαλησαι βραδυς εις οργην"
Santiago,1,20,Porque la ira del hombre no obra la justicia de Dios. οργη γαρ ανδρος δικαιοσυνην θεου ουκ εργαζεται
Santiago,1,21,"Por lo cual, dejando toda inmundicia y superfluidad de malicia, recibid con mansedumbre la palabra ingerida, la cual puede hacer salvas vuestras almas. διο αποθεμενοι πασαν ρυπαριαν και περισσειαν κακιας εν πραυτητι δεξασθε τον εμφυτον λογον τον δυναμενον σωσαι τας ψυχας υμων"
Santiago,1,22,"Mas sed hacedores de la palabra, y no tan solamente oidores, engañándoos a vosotros mismos. γινεσθε δε ποιηται λογου και μη ακροαται μονον παραλογιζομενοι εαυτους"
