Libro,Capítulo,Versículo,Texto
2 Corintios,1,1,"Pablo, apóstol de Jesucristo por la voluntad de Dios, y Timoteo el hermano, a la iglesia de Dios que está en Corinto, juntamente con todos los santos que están por toda la Acaya: παυλος αποστολος χριστου ιησου δια θεληματος θεου και τιμοθεος ο αδελφος τη εκκλησια του θεου τη ουση εν κορινθω συν τοις αγιοις πασιν τοις ουσιν εν ολη τη αχαια"
2 Corintios,1,2,"Gracia y paz a vosotros de Dios nuestro Padre, y del Señor Jesucristo. χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου"
2 Corintios,1,3,"Bendito sea el Dios y Padre del Señor Jesucristo, el Padre de misericordias, y el Dios de toda consolación, ευλογητος ο θεος και πατηρ του κυριου ημων ιησου χριστου ο πατηρ των οικτιρμων και θεος πασης παρακλησεως"
2 Corintios,1,4,"el cual nos consuela en todas nuestras tribulaciones, para que podamos también nosotros consolar a los que están en cualquiera angustia, con la consolación con que nosotros somos consolados de Dios. ο παρακαλων ημας επι παση τη θλιψει ημων εις το δυνασθαι ημας παρακαλειν τους εν παση θλιψει δια της παρακλησεως ης παρακαλουμεθα αυτοι υπο του θεου"
2 Corintios,1,5,"Porque de la manera que abundan en nosotros las aflicciones de Cristo, así abunda también por el mismo Cristo nuestra consolación. οτι καθως περισσευει τα παθηματα του χριστου εις ημας ουτως δια του χριστου περισσευει και η παρακλησις ημων"
2 Corintios,1,6,"Mas si somos atribulados, es por vuestra consolación y salud; la cual es obrada en el sufrir las mismas aflicciones que nosotros también padecemos: o si somos consolados, es por vuestra consolación y salud; ειτε δε θλιβομεθα υπερ της υμων παρακλησεως και σωτηριας ειτε παρακαλουμεθα υπερ της υμων παρακλησεως της ενεργουμενης εν υπομονη των αυτων παθηματων ων και ημεις πασχομεν και η ελπις ημων βεβαια υπερ υμων"
2 Corintios,1,7,"y nuestra esperanza de vosotros es firme; estando ciertos que como sois compañeros de las aflicciones, así también lo sois de la consolación. ειδοτες οτι ως κοινωνοι εστε των παθηματων ουτως και της παρακλησεως"
2 Corintios,1,8,"Porque hermanos, no queremos que ignoréis de nuestra tribulación que nos fué hecha en Asia; que sobremanera fuimos cargados sobre nuestras fuerzas de tal manera que estuviésemos en duda de la vida. ου γαρ θελομεν υμας αγνοειν αδελφοι υπερ της θλιψεως ημων της γενομενης εν τη ασια οτι καθ υπερβολην υπερ δυναμιν εβαρηθημεν ωστε εξαπορηθηναι ημας και του ζην"
2 Corintios,1,9,"Mas nosotros tuvimos en nosotros mismos respuesta de muerte, para que no confiemos en nosotros mismos, sino en Dios que levanta los muertos: αλλα αυτοι εν εαυτοις το αποκριμα του θανατου εσχηκαμεν ινα μη πεποιθοτες ωμεν εφ εαυτοις αλλ επι τω θεω τω εγειροντι τους νεκρους"
2 Corintios,1,10,El cual nos libró y libra de tanta muerte; en el cual esperamos que aun nos librará; ος εκ τηλικουτου θανατου ερρυσατο ημας και ρυσεται εις ον ηλπικαμεν [οτι] και ετι ρυσεται
