Libro,Capítulo,Versículo,Texto
2 Juan ,1,1,"El anciano a la señora elegida y a sus hijos, a los cuales yo amo en verdad y no yo solo, sino también todos los que han conocido la verdad, ο πρεσβυτερος εκλεκτη κυρια και τοις τεκνοις αυτης ους εγω αγαπω εν αληθεια και ουκ εγω μονος αλλα και παντες οι εγνωκοτες την αληθειαν"
2 Juan ,1,2,"por la verdad que está en nosotros, y será perpetuamente con nosotros: δια την αληθειαν την μενουσαν εν ημιν και μεθ ημων εσται εις τον αιωνα"
2 Juan ,1,3,"Sea con vosotros gracia, misericordia, y paz de Dios Padre, y del Señor Jesucristo, Hijo del Padre, en verdad y en amor. εσται μεθ ημων χαρις ελεος ειρηνη παρα θεου πατρος και παρα ιησου χριστου του υιου του πατρος εν αληθεια και αγαπη"
2 Juan ,1,4,"Mucho me he gozado, porque he hallado de tus hijos, que andan en verdad, como nosotros hemos recibido el mandamiento del Padre. εχαρην λιαν οτι ευρηκα εκ των τεκνων σου περιπατουντας εν αληθεια καθως εντολην ελαβομεν παρα του πατρος"
2 Juan ,1,5,"Y ahora te ruego, señora, no como escribiéndote un nuevo mandamiento, sino aquel que nosotros hemos tenido desde el principio, que nos amemos unos a otros. και νυν ερωτω σε κυρια ουχ ως εντολην γραφων σοι καινην αλλα ην ειχομεν απ αρχης ινα αγαπωμεν αλληλους"
2 Juan ,1,6,"Y este es amor, que andemos según sus mandamientos. Este es el mandamiento: Que andéis en él, como vosotros habéis oído desde el principio. και αυτη εστιν η αγαπη ινα περιπατωμεν κατα τας εντολας αυτου αυτη η εντολη εστιν καθως ηκουσατε απ αρχης ινα εν αυτη περιπατητε"
2 Juan ,1,7,"Porque muchos engañadores son entrados en el mundo, los cuales no confiesan que Jesucristo ha venido en carne. Este tal el engañador es, y el anticristo. οτι πολλοι πλανοι εξηλθον εις τον κοσμον οι μη ομολογουντες ιησουν χριστον ερχομενον εν σαρκι ουτος εστιν ο πλανος και ο αντιχριστος"
2 Juan ,1,8,"Mirad por vosotros mismos, porque no perdamos las cosas que hemos obrado, sino que recibamos galardón cumplido. βλεπετε εαυτους ινα μη απολεσητε α ειργασαμεθα αλλα μισθον πληρη απολαβητε"
2 Juan ,1,9,"Cualquiera que se rebela, y no persevera en la doctrina de Cristo, no tiene a Dios: el que persevera en la doctrina de Cristo, el tal tiene al Padre y al Hijo. πας ο προαγων και μη μενων εν τη διδαχη του χριστου θεον ουκ εχει ο μενων εν τη διδαχη ουτος και τον πατερα και τον υιον εχει"
2 Juan ,1,10,"Si alguno viene a vosotros, y no trae esta doctrina, no lo recibáis en casa, ni le digáis: ­bienvenido! ει τις ερχεται προς υμας και ταυτην την διδαχην ου φερει μη λαμβανετε αυτον εις οικιαν και χαιρειν αυτω μη λεγετε"
2 Juan ,1,11,"Porque el que le dice bienvenido, comunica con sus malas obras. ο λεγων γαρ αυτω χαιρειν κοινωνει τοις εργοις αυτου τοις πονηροις"
2 Juan ,1,12,"Aunque tengo muchas cosas que escribiros, no he querido comunicarlas por medio de papel y tinta; mas espero ir a vosotros, y hablar boca a boca, para que nuestro gozo sea cumplido. πολλα εχων υμιν γραφειν ουκ εβουληθην δια χαρτου και μελανος αλλα ελπιζω γενεσθαι προς υμας και στομα προς στομα λαλησαι ινα η χαρα υμων πεπληρωμενη η"
2 Juan ,1,13,Los hijos de tu hermana elegida te saludan. Amén. ασπαζεται σε τα τεκνα της αδελφης σου της εκλεκτης
