Libro,Capítulo,Versículo,Texto
2 Tesalonicenses,1,1,"Pablo, y Silvano, y Timoteo, a la iglesia de los Tesalonicenses que es en Dios nuestro Padre y en el Señor Jesucristo: παυλος και σιλουανος και τιμοθεος τη εκκλησια θεσσαλονικεων εν θεω πατρι ημων και κυριω ιησου χριστω"
2 Tesalonicenses,1,2,Gracia y paz a vosotros de Dios nuestro Padre y del Señor Jesucristo. χαρις υμιν και ειρηνη απο θεου πατρος και κυριου ιησου χριστου
2 Tesalonicenses,1,3,"Debemos siempre dar gracias a Dios de vosotros, hermanos, como es digno, por cuanto vuestra fe va creciendo, y la caridad de cada uno de todos vosotros abunda entre vosotros; ευχαριστειν οφειλομεν τω θεω παντοτε περι υμων αδελφοι καθως αξιον εστιν οτι υπεραυξανει η πιστις υμων και πλεοναζει η αγαπη ενος εκαστου παντων υμων εις αλληλους"
2 Tesalonicenses,1,4,"tanto, que nosotros mismos nos gloriamos de vosotros en las iglesias de Dios, de vuestra paciencia y en todas vuestras persecuciones y tribulaciones que sufrís: ωστε αυτους ημας εν υμιν εγκαυχασθαι εν ταις εκκλησιαις του θεου υπερ της υπομονης υμων και πιστεως εν πασιν τοις διωγμοις υμων και ταις θλιψεσιν αις ανεχεσθε"
2 Tesalonicenses,1,5,"Una demostración del justo juicio de Dios, para que seáis tenidos por dignos del reino de Dios, por el cual asimismo padecéis. ενδειγμα της δικαιας κρισεως του θεου εις το καταξιωθηναι υμας της βασιλειας του θεου υπερ ης και πασχετε"
2 Tesalonicenses,1,6,Porque es justo para con Dios pagar con tribulación a los que os atribulan; ειπερ δικαιον παρα θεω ανταποδουναι τοις θλιβουσιν υμας θλιψιν
2 Tesalonicenses,1,7,"y a vosotros, que sois atribulados, dar reposo con nosotros, cuando se manifestará el Señor Jesús del cielo con los ángeles de su potencia, και υμιν τοις θλιβομενοις ανεσιν μεθ ημων εν τη αποκαλυψει του κυριου ιησου απ ουρανου μετ αγγελων δυναμεως αυτου"
2 Tesalonicenses,1,8,"en llama de fuego, para dar el pago a los que no conocieron a Dios, ni obedecen al evangelio de nuestro Señor Jesucristo; εν πυρι φλογος διδοντος εκδικησιν τοις μη ειδοσιν θεον και τοις μη υπακουουσιν τω ευαγγελιω του κυριου ημων ιησου"
2 Tesalonicenses,1,9,"los cuales serán castigados de eterna perdición por la presencia del Señor, y por la gloria de su potencia, οιτινες δικην τισουσιν ολεθρον αιωνιον απο προσωπου του κυριου και απο της δοξης της ισχυος αυτου"
2 Tesalonicenses,1,10,"cuando viniere para ser glorificado en sus santos, y a hacerse admirable en aquel día en todos los que creyeron: (por cuanto nuestro testimonio ha sido creído entre vosotros) οταν ελθη ενδοξασθηναι εν τοις αγιοις αυτου και θαυμασθηναι εν πασιν τοις πιστευσασιν οτι επιστευθη το μαρτυριον ημων εφ υμας εν τη ημερα εκεινη"
2 Tesalonicenses,1,11,"Por lo cual, asimismo oramos siempre por vosotros, que nuestro Dios os tenga por dignos de su vocación, e hincha de bondad todo buen intento, y toda obra de fe con potencia, εις ο και προσευχομεθα παντοτε περι υμων ινα υμας αξιωση της κλησεως ο θεος ημων και πληρωση πασαν ευδοκιαν αγαθωσυνης και εργον πιστεως εν δυναμει"
2 Tesalonicenses,1,12,"para que el nombre, de nuestro Señor Jesucristo sea glorificado en vosotros, y vosotros en él, por la gracia de nuestro Dios y del Señor Jesucristo. οπως ενδοξασθη το ονομα του κυριου ημων ιησου εν υμιν και υμεις εν αυτω κατα την χαριν του θεου ημων και κυριου ιησου χριστου"
2 Tesalonicenses,2,1,"Empero os rogamos, hermanos, cuanto a la venida de nuestro Señor Jesucristo, y nuestro recogimiento a él, ερωτωμεν δε υμας αδελφοι υπερ της παρουσιας του κυριου [ημων] ιησου χριστου και ημων επισυναγωγης επ αυτον"
2 Tesalonicenses,2,2,"que no os mováis fácilmente de vuestro sentimiento, ni os conturbéis ni por espíritu, ni por palabra, ni por carta como nuestra, como que el día del Señor esté cerca. εις το μη ταχεως σαλευθηναι υμας απο του νοος μηδε θροεισθαι μητε δια πνευματος μητε δια λογου μητε δι επιστολης ως δι ημων ως οτι ενεστηκεν η ημερα του κυριου"
