Libro,Capítulo,Versículo,Texto
2 Timoteo,1,1,"Pablo, apóstol de Jesucristo por la voluntad de Dios, según la promesa de la vida que es en Cristo Jesús, παυλος αποστολος χριστου ιησου δια θεληματος θεου κατ επαγγελιαν ζωης της εν χριστω ιησου"
2 Timoteo,1,2,"a Timoteo, amado hijo: Gracia, misericordia, y paz de Dios el Padre y de Jesucristo nuestro Señor. τιμοθεω αγαπητω τεκνω χαρις ελεος ειρηνη απο θεου πατρος και χριστου ιησου του κυριου ημων"
2 Timoteo,1,3,"Doy gracias a Dios, al cual sirvo desde mis mayores con limpia conciencia, de que sin cesar tengo memoria de ti en mis oraciones noche y día; χαριν εχω τω θεω ω λατρευω απο προγονων εν καθαρα συνειδησει ως αδιαλειπτον εχω την περι σου μνειαν εν ταις δεησεσιν μου νυκτος και ημερας"
2 Timoteo,1,4,"deseando verte, acordándome de tus lágrimas, para ser lleno de gozo; επιποθων σε ιδειν μεμνημενος σου των δακρυων ινα χαρας πληρωθω"
2 Timoteo,1,5,"trayendo a la memoria la fe no fingida que hay en ti, la cual residió primero en tu abuela Loida, y en tu madre Eunice; y estoy cierto que en ti también. υπομνησιν λαβων της εν σοι ανυποκριτου πιστεως ητις ενωκησεν πρωτον εν τη μαμμη σου λωιδι και τη μητρι σου ευνικη πεπεισμαι δε οτι και εν σοι"
2 Timoteo,1,6,"Por lo cual te aconsejo que despiertes el don de Dios, que está en ti por la imposición de mis manos. δι ην αιτιαν αναμιμνησκω σε αναζωπυρειν το χαρισμα του θεου ο εστιν εν σοι δια της επιθεσεως των χειρων μου"
2 Timoteo,1,7,"Porque no nos ha dado Dios el espíritu de temor, sino el de fortaleza, y de amor, y de templanza. ου γαρ εδωκεν ημιν ο θεος πνευμα δειλιας αλλα δυναμεως και αγαπης και σωφρονισμου"
2 Timoteo,1,8,"Por tanto no te avergüences del testimonio de nuestro Señor, ni de mí, preso suyo; antes sé participante de los trabajos del evangelio según la virtud de Dios, μη ουν επαισχυνθης το μαρτυριον του κυριου ημων μηδε εμε τον δεσμιον αυτου αλλα συγκακοπαθησον τω ευαγγελιω κατα δυναμιν θεου"
2 Timoteo,1,9,"que nos salvó y llamó con vocación santa, no conforme a nuestras obras, mas según el intento suyo y gracia, la cual nos es dada en Cristo Jesús antes de los tiempos de los siglos, του σωσαντος ημας και καλεσαντος κλησει αγια ου κατα τα εργα ημων αλλα κατα ιδιαν προθεσιν και χαριν την δοθεισαν ημιν εν χριστω ιησου προ χρονων αιωνιων"
2 Timoteo,1,10,"mas ahora es manifestada por la aparición de nuestro Salvador Jesucristo, el cual quitó la muerte, y sacó a la luz la vida y la inmortalidad por el evangelio; φανερωθεισαν δε νυν δια της επιφανειας του σωτηρος ημων χριστου ιησου καταργησαντος μεν τον θανατον φωτισαντος δε ζωην και αφθαρσιαν δια του ευαγγελιου"
