Libro,Capítulo,Versículo,Texto
3 Juan,1,1,"El anciano al muy amado Gaio, al cual yo amo en verdad. ο πρεσβυτερος γαιω τω αγαπητω ον εγω αγαπω εν αληθεια"
3 Juan,1,2,"Amado, yo deseo que tú seas prosperado en todas cosas, y que tengas salud, así como tu alma está en prosperidad. αγαπητε περι παντων ευχομαι σε ευοδουσθαι και υγιαινειν καθως ευοδουται σου η ψυχη"
3 Juan,1,3,"Ciertamente me gocé mucho cuando vinieron los hermanos y dieron testimonio de tu verdad, así como tú andas en la verdad. εχαρην γαρ λιαν ερχομενων αδελφων και μαρτυρουντων σου τη αληθεια καθως συ εν αληθεια περιπατεις"
3 Juan,1,4,"No tengo yo mayor gozo que éste, el oir que mis hijos andan en la verdad. μειζοτεραν τουτων ουκ εχω χαριν ινα ακουω τα εμα τεκνα εν τη αληθεια περιπατουντα"
3 Juan,1,5,"Amado, fielmente haces todo lo que haces para con los hermanos, y con los extranjeros, αγαπητε πιστον ποιεις ο εαν εργαση εις τους αδελφους και τουτο ξενους"
3 Juan,1,6,"Los cuales han dado testimonio de tu amor en presencia de la iglesia: a los cuales si ayudares como conviene según Dios, harás bien. οι εμαρτυρησαν σου τη αγαπη ενωπιον εκκλησιας ους καλως ποιησεις προπεμψας αξιως του θεου"
3 Juan,1,7,"Porque ellos partieron por amor de su nombre, no tomando nada de los Gentiles. υπερ γαρ του ονοματος εξηλθον μηδεν λαμβανοντες απο των εθνικων"
3 Juan,1,8,"Nosotros, pues, debemos recibir a los tales, para que seamos cooperadores a la verdad. ημεις ουν οφειλομεν υπολαμβανειν τους τοιουτους ινα συνεργοι γινωμεθα τη αληθεια"
3 Juan,1,9,"Yo he escrito a la iglesia: mas Diótrefes, que ama tener el primado entre ellos, no nos recibe. εγραψα τι τη εκκλησια αλλ ο φιλοπρωτευων αυτων διοτρεφης ουκ επιδεχεται ημας"
3 Juan,1,10,"Por esta causa, si yo viniere, recordaré las obras que hace parlando con palabras maliciosas contra nosotros; y no contento con estas cosas, no recibe a los hermanos, y prohibe a los que los quieren recibir, y los echa de la iglesia. δια τουτο εαν ελθω υπομνησω αυτου τα εργα α ποιει λογοις πονηροις φλυαρων ημας και μη αρκουμενος επι τουτοις ουτε αυτος επιδεχεται τους αδελφους και τους βουλομενους κωλυει και εκ της εκκλησιας εκβαλλει"
3 Juan,1,11,"Amado, no sigas lo que es malo, sino lo que es bueno. El que hace bien es de Dios: mas el que hace mal, no ha visto a Dios. αγαπητε μη μιμου το κακον αλλα το αγαθον ο αγαθοποιων εκ του θεου εστιν ο κακοποιων ουχ εωρακεν τον θεον"
3 Juan,1,12,"Todos dan testimonio de Demetrio, y aun la misma verdad: y también nosotros damos testimonio; y vosotros habéis conocido que nuestro testimonio es verdadero. δημητριω μεμαρτυρηται υπο παντων και υπο αυτης της αληθειας και ημεις δε μαρτυρουμεν και οιδας οτι η μαρτυρια ημων αληθης εστιν"
3 Juan,1,13,Yo tenía muchas cosas que escribirte; empero no quiero escribirte por tinta y pluma: πολλα ειχον γραψαι σοι αλλ ου θελω δια μελανος και καλαμου σοι γραφειν
3 Juan,1,14,"Porque espero verte en breve, y hablaremos boca a boca. La paz sea contigo. Los amigos te saludan. Saluda tú a los amigos por nombre. ελπιζω δε ευθεως σε ιδειν και στομα προς στομα λαλησομεν ειρηνη σοι ασπαζονται σε οι φιλοι ασπαζου τους φιλους κατ ονομα"
