Libro,Capítulo,Versículo,Texto
Tito,1,1,"Pablo, siervo de Dios, y apóstol de Jesucristo, según la fe de los escogidos de Dios, y el conocimiento de la verdad que es según la piedad, παυλος δουλος θεου αποστολος δε ιησου χριστου κατα πιστιν εκλεκτων θεου και επιγνωσιν αληθειας της κατ ευσεβειαν"
Tito,1,2,"para la esperanza de la vida eterna, la cual Dios, que no puede mentir, prometió antes de los tiempos de los siglos, επ ελπιδι ζωης αιωνιου ην επηγγειλατο ο αψευδης θεος προ χρονων αιωνιων"
Tito,1,3,"y manifestó a sus tiempos su palabra por la predicación, que me es a mí encomendada por mandamiento de nuestro Salvador Dios; εφανερωσεν δε καιροις ιδιοις τον λογον αυτου εν κηρυγματι ο επιστευθην εγω κατ επιταγην του σωτηρος ημων θεου"
Tito,1,4,"a Tito, verdadero hijo en la común fe: Gracia, misericordia, y paz de Dios Padre, y del Señor Jesucristo Salvador nuestro. τιτω γνησιω τεκνω κατα κοινην πιστιν χαρις και ειρηνη απο θεου πατρος και χριστου ιησου του σωτηρος ημων"
Tito,1,5,"Por esta causa te dejé en Creta, para que corrigieses lo que falta, y pusieses ancianos por las villas, así como yo te mandé: τουτου χαριν απελειπον σε εν κρητη ινα τα λειποντα επιδιορθωση και καταστησης κατα πολιν πρεσβυτερους ως εγω σοι διεταξαμην"
Tito,1,6,"El que fuere sin crimen, marido de una mujer, que tenga hijos fieles que no estén acusados de disolución, o contumaces. ει τις εστιν ανεγκλητος μιας γυναικος ανηρ τεκνα εχων πιστα μη εν κατηγορια ασωτιας η ανυποτακτα"
Tito,1,7,"Porque es menester que el obispo sea sin crimen, como dispensador de Dios; no soberbio, no iracundo, no amador del vino, no heridor, no codicioso de torpes ganancias; δει γαρ τον επισκοπον ανεγκλητον ειναι ως θεου οικονομον μη αυθαδη μη οργιλον μη παροινον μη πληκτην μη αισχροκερδη"
Tito,1,8,"sino hospedador, amador de lo bueno, templado, justo, santo, continente; αλλα φιλοξενον φιλαγαθον σωφρονα δικαιον οσιον εγκρατη"
Tito,1,9,"retenedor de la fiel palabra que es conforme a la doctrina: para que también pueda exhortar con sana doctrina, y convencer a los que contradijeren. αντεχομενον του κατα την διδαχην πιστου λογου ινα δυνατος η και παρακαλειν εν τη διδασκαλια τη υγιαινουση και τους αντιλεγοντας ελεγχειν"
Tito,1,10,"Porque hay aún muchos contumaces, habladores de vanidades, y engañadores de las almas, mayormente los que son de la circuncisión, εισιν γαρ πολλοι ανυποτακτοι ματαιολογοι και φρεναπαται μαλιστα οι εκ της περιτομης"
Tito,1,11,"a los cuales es preciso tapar la boca; que trastornan casas enteras; enseñando lo que no conviene, por torpe ganancia. ους δει επιστομιζειν οιτινες ολους οικους ανατρεπουσιν διδασκοντες α μη δει αισχρου κερδους χαριν"
Tito,1,12,"Dijo uno de ellos, propio profeta de ellos: Los Cretenses, siempre mentirosos, malas bestias, vientres perezosos. ειπεν τις εξ αυτων ιδιος αυτων προφητης κρητες αει ψευσται κακα θηρια γαστερες αργαι"
Tito,1,13,"Este testimonio es verdadero: por tanto, repréndelos duramente, para que sean sanos en la fe, η μαρτυρια αυτη εστιν αληθης δι ην αιτιαν ελεγχε αυτους αποτομως ινα υγιαινωσιν [εν] τη πιστει"
