analisis_gramatical,traduccion_literal,palabra,transliteracion
"La letra ""α"" (alfa) en sí misma no tiene un análisis gramatical completo en el sentido tradicional, ya que es una letra del alfabeto griego, no una palabra con una función gramatical específica dentro de una oración. No posee raíz, clase de palabra, caso, género, número, tiempo, voz o modo.  Para tener un análisis gramatical, debe formar parte de una palabra, por ejemplo,  ""ἀγάπη"" (agápē), donde ""α"" es parte de la raíz y contribuye a la formación del significado de la palabra, pero ""α""  por sí sola no funciona como una unidad gramatical independiente.",alfa,α,alpha
"{'observaciones': 'Nombre propio masculino que aparece en el Nuevo Testamento,  derivado del hebreo  ""אהרן"" (Aharon).  En griego, se mantiene sin modificaciones morfológicas debido a su naturaleza como nombre propio.  Su función gramatical depende del contexto en la oración.', 'caso': 'Nominativo', 'modo': 'No aplica', 'genero': 'Masculino', 'clase_de_palabra': 'Sustantivo propio', 'raiz': 'Aaron', 'voz': 'No aplica', 'numero': 'Singular', 'tiempo': 'No aplica'}",Aarón,ααρων,Aαρων
"La palabra ""αβαδδων"" (Abaddon) en griego del Nuevo Testamento es un sustantivo propio, de género masculino, singular.  No presenta flexiones de caso, número o género en este contexto. Su origen es hebreo (אֲבַדּוֹן, 'Abaddon'), significando ""destrucción"" o ""perdición"".  En el griego del Nuevo Testamento se usa como nombre propio, representando a un ángel destructor o al mismo infierno. No tiene raíz griega, sino que es un préstamo directo del hebreo.  No se pueden aplicar categorías gramaticales como tiempo, voz o modo, ya que no es una forma verbal.",Abadón,αβαδδων,Abaddon
"Raíz: probablemente una raíz semítica que indica carga o peso.  Clase de palabra: Sustantivo femenino. Caso: Nominativo. Número: Singular. Género: Femenino.  Declinación:  La palabra parece ser una forma inusual o una variante de una raíz más común; no encaja perfectamente en un patrón declinacional griego estándar.  Observaciones adicionales: Su uso en el Nuevo Testamento es limitado y está sujeto a debate en cuanto a su origen preciso y relación con otras palabras.  A menudo se traduce como 'carga', 'peso', o 'fardo', enfatizando un peso pesado, posiblemente impuesto, que alguien lleva.","carga, peso, fardo",αβαρη,abarē
"Raíz: Probablemente de una raíz semítica (arameo ""abbā"", hebreo ""abba"").
Clase de palabra: Sustantivo.
Caso: Vocativo.
Género: Masculino.
Número: Singular.
Tiempo: No aplica (sustantivo).
Voz: No aplica (sustantivo).
Modo: No aplica (sustantivo).
Otra información: Se usa como un término de cariño y familiaridad para dirigirse a Dios, reflejando la intimidad de la relación entre el creyente y el Padre celestial.  Su uso en el Nuevo Testamento es un ejemplo de la influencia de las lenguas semíticas en el griego koiné.",papá,αββα,abba
"Raíz:  Probablemente de una raíz semítica que significa 'vapor', 'aliento', o similar.  Aunque no se encuentra una raíz griega directa, la conexión con la tradición hebrea es clara. Clase de palabra: Sustantivo propio masculino. Caso: Nominativo. Género: Masculino. Número: Singular.  Tiempo: No aplica (sustantivo). Voz: No aplica (sustantivo). Modo: No aplica (sustantivo).  Información adicional: Es un antropónimo, un nombre propio de persona, tomado del Antiguo Testamento (Génesis 4).  En el Nuevo Testamento aparece en Hebreos 11:4 como ejemplo de fe.  Se presenta invariablemente en nominativo singular.",Abel,αβελ,Abel
"Raíz: Probablemente una forma abreviada de un nombre teóforo hebreo, que significa ""Yahvé es mi padre"".  Clase de palabra: Sustantivo propio. Caso: Nominativo. Género: Masculino. Número: Singular.  No presenta tiempo, voz o modo porque es un sustantivo.  Información relevante: Aparece en el Nuevo Testamento como nombre propio, específicamente en Lucas 1:5, en la genealogía de Jesús. La forma  ""Abia"" podría ser una variación ortográfica o una abreviatura del nombre hebreo  Abiyah (אֲבִיָּה) o Abijah (אֲבִי יָה).  Es importante notar que la escritura en griego del Nuevo Testamento puede tener algunas variaciones en la representación de nombres propios de origen hebreo.",Abías,αβια,Abia
"Raíz: Probablemente una forma compuesta de elementos hebreos (Abi = ""mi padre"" y posiblemente 'Athar = ""hermano"" o relacionado con un nombre divino).  Clase de palabra: Sustantivo propio masculino. Caso: Nominativo o vocativo (dependiendo del contexto de la oración en la que aparezca, que no se proporciona). Género: Masculino. Número: Singular.  Tiempo: No aplica (sustantivos no tienen tiempo). Voz: No aplica (sustantivos no tienen voz). Modo: No aplica (sustantivos no tienen modo).  Información adicional: Es un nombre teóforo, es decir, un nombre que incorpora un nombre divino o un elemento relacionado con la divinidad.  En el Nuevo Testamento se utiliza para referirse a Abiatar, el sumo sacerdote en tiempos de David, mencionado en el Antiguo Testamento (2 Samuel 15:24, etc.).  La ortografía griega refleja la adaptación fonética del nombre hebreo original al griego.",Abiatar,αβιαθαρ,Abiathar
"La palabra ""αβιληνης"" (Abilēnēs) es un nombre propio, en concreto, un topónimo que designa a Abilene.  Gramaticalmente, se trata de un sustantivo propio, en genitivo singular masculino. 

* **Raíz:** Abilēn (nombre de la ciudad)
* **Clase de palabra:** Sustantivo propio
* **Caso:** Genitivo
* **Género:** Masculino
* **Número:** Singular
* **Tiempo:** No aplica (sustantivos)
* **Voz:** No aplica (sustantivos)
* **Modo:** No aplica (sustantivos)

La terminación ""-ēs"" indica el genitivo singular masculino, mostrando una relación de pertenencia o procedencia.  En el contexto del Nuevo Testamento,  ""αβιληνης"" se usa para indicar origen o localización,  como ""de Abilene"".",de Abilene,αβιληνης,Abilēnēs
"La palabra ""αβιουδ"" (Abiud) es un nombre propio, de origen hebreo.  Como nombre propio, no se declina en los casos gramaticales griegos (nominativo, genitivo, dativo, acusativo, vocativo). No tiene género, número, tiempo, voz o modo, al no ser un verbo o adjetivo.  Su raíz es hebrea y significa 'su padre es Yahweh' o similar, reflejando una teoforización. En el griego del Nuevo Testamento, funciona sintácticamente como un sustantivo propio en nominativo singular.",Abiud,αβιουδ,Abiud
